train_id,station
1531,Maria-Aalter
1532,Brussel-Noord
1531,Beernem
1507,Kiewit
1509,Gent-Sint-Pieters
1532,Brussel-Congres
1508,Leuven
1531,Oostkamp
1533,Sint-Truiden
1532,Brussel-Centraal
1507,Bokrijk
1532,Brussel-Kapellekerk
1508,Vertrijk
1532,Brussel-Zuid
1531,Brugge
1510,Blankenberge
1533,Landen
1508,Tienen
1531,Brugge-Sint-Pieters
1532,Anderlecht
1533,Neerwinden
1533,Ezemaal
1508,Ezemaal
1508,Neerwinden
1510,Brugge-Sint-Pieters
1509,Anderlecht
1508,Landen
1533,Tienen
1534,Genk
1510,Brugge
1533,Vertrijk
1509,Brussel-Zuid
1509,Brussel-Kapellekerk
1534,Bokrijk
1510,Oostkamp
1508,Sint-Truiden
1510,Beernem
1509,Brussel-Centraal
1509,Brussel-Congres
1534,Kiewit
1510,Maria-Aalter
1533,Leuven
1532,Gent-Sint-Pieters
1509,Brussel-Noord
1533,Herent
1510,Aalter
1508,Alken
1533,Veltem
1510,Bellem
1532,Drongen
1509,Schaarbeek
1533,Erps-Kwerps
1533,Kortenberg
1510,Hansbeke
1534,Hasselt
1509,Haren-Zuid
1509,Diegem
1532,Landegem
1533,Nossegem
1510,Landegem
1533,Zaventem
1532,Hansbeke
1509,Zaventem
1509,Nossegem
1532,Bellem
1533,Diegem
1533,Haren-Zuid
1508,Hasselt
1510,Drongen
1509,Kortenberg
1509,Erps-Kwerps
1509,Veltem
1532,Aalter
1533,Schaarbeek
1534,Alken
1509,Herent
1532,Maria-Aalter
1533,Brussel-Noord
1508,Kiewit
1510,Gent-Sint-Pieters
1532,Beernem
1533,Brussel-Congres
1509,Leuven
1534,Sint-Truiden
1532,Oostkamp
1508,Bokrijk
1533,Brussel-Centraal
1533,Brussel-Kapellekerk
1509,Vertrijk
1533,Brussel-Zuid
1532,Brugge
1534,Landen
1511,Blankenberge
1509,Tienen
1533,Anderlecht
1532,Brugge-Sint-Pieters
1534,Neerwinden
1534,Ezemaal
1509,Ezemaal
1509,Neerwinden
1511,Brugge-Sint-Pieters
1510,Anderlecht
1534,Tienen
1509,Landen
1535,Genk
1511,Brugge
1534,Vertrijk
1510,Brussel-Zuid
1510,Brussel-Kapellekerk
1535,Bokrijk
1511,Oostkamp
1509,Sint-Truiden
1511,Beernem
1510,Brussel-Centraal
1510,Brussel-Congres
1535,Kiewit
1511,Maria-Aalter
1534,Leuven
1510,Brussel-Noord
1533,Gent-Sint-Pieters
1534,Herent
1509,Alken
1511,Aalter
1534,Veltem
1533,Drongen
1510,Schaarbeek
1534,Erps-Kwerps
1511,Bellem
1510,Haren-Zuid
1511,Hansbeke
1535,Hasselt
1534,Kortenberg
1533,Landegem
1534,Nossegem
1510,Diegem
1510,Zaventem
1533,Hansbeke
1534,Zaventem
1534,Diegem
1533,Bellem
1510,Nossegem
1511,Landegem
1509,Hasselt
1511,Drongen
1510,Kortenberg
1534,Haren-Zuid
1510,Erps-Kwerps
1510,Veltem
1534,Schaarbeek
1535,Alken
1533,Aalter
1510,Herent
1533,Maria-Aalter
1534,Brussel-Noord
1533,Beernem
1509,Kiewit
1511,Gent-Sint-Pieters
1510,Leuven
