station,latitude,longitude
Aalst,50.94312325212488,4.038683507111515
Aalst-Oost,50.93653755329412,4.049055382200534
Aalter,51.09225779139449,3.447855382940146
Aarlen,49.679971210545986,5.810609705951418
Aarschot,50.98449635540834,4.823698347886938
Aarsele,50.98449587775488,3.41837146644795
Aat,50.627030183302196,3.776393685659921
Acren,50.73286590540343,3.847018189191549
Aiseau,50.42954055375694,4.584376485514419
Alken,50.886400235927916,5.291749444935051
Amay,50.54592191603607,5.320609487870715
Ampsin,50.53917375822986,5.288862316887595
Andenne,50.496828765415096,5.095965480077196
Anderlecht,50.817918890620895,4.29153935389493
Angleur,50.61253000192086,5.600948994820556
Ans,50.66119033371017,5.509696653841267
Anseremme,50.238013493316494,4.905565624296302
Antoing,50.569648067428595,3.451351534219263
Antwerpen-Berchem,51.1988702961587,4.432979473543215
Antwerpen-Centraal,51.216862033537794,4.421083629947415
Antwerpen-Dam,51.23174780746617,4.426375562246658
Antwerpen-Kiel,51.195105758708074,4.366867799655071
Antwerpen-Luchtbal,51.24356131845809,4.424880242352095
Antwerpen-Noord-Bundel C1,51.289043251766316,4.388902560926022
Antwerpen-Noorderdokken,51.261690357038965,4.427946720982024
Antwerpen-Oost,51.20666767200753,4.43474462113128
Antwerpen-Schijnpoort-Carwash,51.222878001567295,4.443561995282594
Antwerpen-W.H.-B.Kallo,51.24290895806424,4.27397482533313
Antwerpen-Zuid,51.19721428415948,4.391779006927757
Anzegem,50.826216033991116,3.495470091998172
Appelterre,50.81314095122116,3.97235371963076
Arcaden,50.809668214471365,4.398413181937825
Asse,50.90670257176685,4.208230395126666
Assesse,50.368675498227645,5.021448905914102
Athus,49.563854762384,5.829224589508755
Aubange,49.5633161795773,5.800053519656957
Auvelais,50.449170411135086,4.63070038869451
Aye,50.2248529224513,5.300638767175158
Baasrode-Zuid,51.01938772431604,4.15401461327405
Balegem-Dorp,50.92004304051835,3.791056533864412
Balegem-Zuid,50.9008046268035,3.805776390974759
Balen,51.16831361296897,5.166049651618022
Balen-Werkplaatsen,51.204947001662255,5.245949995002284
Barvaux,50.349504130012015,5.502270043642818
Bas-Oha,50.52248172084146,5.191103060084089
Basse-Wavre,50.72414363271483,4.621220383958832
Baulers,50.61231055874444,4.350260827251606
Beauraing,50.113835526135354,4.957023362536677
Beernem,51.127984351343564,3.329867037752411
Beersel,50.76636810390514,4.302343410248635
Beervelde,51.087172443782855,3.879980395685934
Begijnendijk,51.02202332433806,4.800439914572373
Beignée,50.33322928698963,4.406633114506781
Bellem,51.08372389725801,3.487287359353551
Belsele,51.15105293420193,4.088971325808107
Bergen,50.454436770348934,3.942380575452241
Beringen,51.0506130017172,5.235889994991115
Berlaar,51.113708437795054,4.638257975914391
Bertrix,49.85232574338336,5.268150158432898
Berzée,50.28562307355465,4.40599828396412
Beuzet,50.532974982431014,4.750194075854363
Beveren(Waas),51.208473876872844,4.260777895162216
Beverlo,51.08864300170322,5.234550994995216
Bierges-Walibi,50.707651778207,4.595155144797867
Bierset-Awans,50.65843789782589,5.460786562650455
Bilzen,50.868680426197486,5.509372414884934
Bilzen-Wijkspoor,50.87164775246125,5.509354730128338
Binche,50.408563854714735,4.172759557130057
Bissegem,50.82579327658622,3.224088411817595
Blankenberge,51.31228295182011,3.133562308706298
Blanmont,50.6195230216506,4.636686921998361
Blaton,50.505954521715246,3.66570591977767
Bleret,50.685313301749794,5.286061064312441
Bockstael,50.87943983166831,4.348514000855896
Boechout,51.16382800159388,4.49404699525959
Bois d'Ausse,50.40132405813825,4.98626175713774
Bokrijk,50.955795456999596,5.408576048052186
Bomal,50.376893421466065,5.519435934484005
Booischot,51.037499464688636,4.772796366390144
Boom,51.09092845876141,4.360441525923846
Boondaal,50.801951889621996,4.393613977537654
Boortmeerbeek,50.98190383220303,4.57399271193005
Bordet,50.8777742574513,4.410014404476271
Borgworm,50.69469090868593,5.248963056690451
Bornem,51.09898501545822,4.240696490818711
Bosvoorde,50.79455788670699,4.408269528287142
Boussu,50.43603991470513,3.79597174083758
Bouwel,51.16584351392913,4.747581819970593
Bracquegnies,50.47436212331982,4.126350513636451
Bressoux,50.64438317344683,5.612535756048398
Brugelette,50.593960141371475,3.852911657073794
Brugge,51.19727306937378,3.216852878213191
Brugge-Bundels U/V,51.1905170014511,3.222696995695276
Brugge-Sint-Pieters,51.22266043095538,3.201678747582974
Brussel-Centraal,50.84531101978561,4.35675831766839
Brussel-Congres,50.85178018311057,4.362219760072247
Brussel-Kapellekerk,50.841176483587425,4.347842850133666
Brussel-Klein-Eiland-Bundel F,50.82812010974146,4.321977787924144
Brussel-Luxemburg,50.8388378181944,4.373972450132626
Brussel-Noord,50.85959959838314,4.361252318634824
Brussels Airport - Zaventem,50.89642423705851,4.48395784718869
Brussel-Schuman,50.842848617923735,4.380023585783107
Brussel-West,50.85205607050756,4.322817267052568
Brussel-Zuid,50.83580082886068,4.336052466325346
Buda,50.90808941401188,4.417587678075591
Buggenhout,51.01631183819492,4.200760136726267
Buizingen,50.75154826326621,4.258657550563639
Burst,50.90690477967195,3.920956497963406
Callenelle,50.527311586615326,3.526278070673758
Cambron-Casteau,50.58696925909204,3.873974629508698
Carlsbourg,49.903721616182835,5.09754707829283
Carnières,50.44790381004631,4.264406625278332
Céroux-Mousty,50.6593132895864,4.569055560535676
Chapelle-Dieu,50.55789332460762,4.698674795359371
Chapois,50.26226836222129,5.124119622764102
Charleroi-A.T.,50.40057400186748,4.458826995197694
Charleroi-Centraal,50.40419960613283,4.438439317373349
Charleroi-Faisceau A,50.406101637859585,4.429883217823138
Charleroi-West,50.41220705285437,4.437641137969656
Chastre,50.60757597085545,4.65013041163728
Château-de-Seilles,50.497212725023616,5.081752631616731
Châtelet,50.41014315711594,4.521411822216678
Châtelet-Formation,50.41955600186859,4.530826995174737
Chaudfontaine,50.58695623775602,5.644168864995391
Chênée,50.60835327318151,5.614856781125281
Ciney,50.29201497586893,5.0906965755074
Comblain-la-Tour,50.45662378972361,5.567151863844289
Couillet,50.39264488205441,4.46933253671293
Courcelles-Motte,50.46202986102244,4.400412086453594
Courrière,50.38773555674349,4.995789831137567
Cour-sur-Heure,50.30090257757173,4.392087977820365
Court-Saint-Etienne,50.645568864411956,4.56554152667738
Couvin,50.057799568191655,4.492998249775371
Dave-Saint-Martin,50.429043271156736,4.88423456717759
De Hoek,50.73924115834706,4.370342368877128
Deinze,50.9781328604359,3.535002801077202
Deinze-Wijksporen,50.9790461798649,3.540645659081197
Delta,50.81920158758551,4.404357132216068
Denderleeuw,50.891621170603955,4.071431566061722
Dendermonde,51.022951980794005,4.101327011759538
De Panne,51.07726613110537,2.602401090227277
De Pinte,50.998952524822585,3.655383901672195
Diegem,50.89062008445345,4.441952580833079
Diepenbeek,50.9117654559103,5.41632753993968
Diesdelle,50.79612575604862,4.373898950394146
Diest,50.99342002336958,5.050066472491223
Diksmuide,51.032885050461196,2.869519746489205
Dilbeek,50.86638979130907,4.243574071280418
Dinant,50.260730671818045,4.908199789924007
Dolhain-Gileppe,50.62692515023561,5.93868646551414
Doornik,50.615141816804844,3.388492484343276
Drongen,51.047503146402754,3.653586159319735
Duffel,51.091684329214274,4.492767295335319
Duinbergen,51.338271911609404,3.26293506332294
Ecaussinnes,50.56236360511417,4.156673065283353
Ede,50.91099162785289,3.987780754836433
Edingen,50.69722134520999,4.047260476616265
Eeklo,51.18061569885919,3.575419009227249
Eerken,50.75433674841785,4.662366455406936
Eichem,50.82390795063365,3.993605086038247
Eigenbrakel,50.68475914261351,4.37582344502392
Eine,50.871000895022995,3.623822543985241
Eke-Nazareth,50.96156491571629,3.627889375856963
Ekeren,51.27723574066446,4.432825280541328
Engis,50.58266006063994,5.402218863560586
Eppegem,50.95840721352074,4.457499467095007
Erbisoeul,50.5078636253228,3.888447711073647
Erembodegem,50.91929248249657,4.055478044299816
Ernage,50.592425164448926,4.667147778258966
Erps-Kwerps,50.89654505809275,4.584930600736926
Erquelinnes,50.30411129311053,4.113617375776282
Erquelinnes-Dorp,50.30970783724065,4.130141061496101
Esneux,50.52961833787157,5.572858884799018
Essen,51.46273699668126,4.451116949102328
Essene-Lombeek,50.882398692140114,4.115166601057234
Etterbeek,50.8213075599027,4.39049871944438
Eupen,50.63530533532371,6.037148397876284
Evere,50.8682065685372,4.401355062293686
Evergem,51.10754309685516,3.701533161896776
Ezemaal,50.77212949781888,4.994219913271197
Familleureux,50.519411502375476,4.211654529557394
Farciennes,50.42914428371283,4.552667151670986
Faux,50.62178659810776,4.549374449348136
Fexhe-le-Haut-Clocher,50.66429943408551,5.397266517996256
Flawinne,50.456249957652616,4.806300471605369
Flémalle-Annexe,50.59744524486694,5.473536463897578
Flémalle-Grande,50.6052596351082,5.481089013737427
Flémalle-Haute,50.59463893442038,5.456315954565175
Fleurus,50.483141103888876,4.544831466361379
Florée,50.357541983874405,5.056427261179839
Floreffe,50.44348110262792,4.762999763962485
Florenville,49.70723922741239,5.331285482846186
Florival,50.761456831505605,4.654204552702843
Fontaine-Valmont,50.32086424659956,4.211513539319487
Forchies,50.433128757386235,4.323472828215522
Forrières,50.13309074777786,5.276553146611916
Fraipont,50.56512345525054,5.723431941853723
Frameries,50.40552689156566,3.906385856821704
Franchimont,50.52521135946914,5.822584899875552
Franière,50.439609337705065,4.733609958418976
Froyennes,50.629514143330255,3.355483776176476
Galmaarden,50.74402497456338,3.964956486506644
Gastuche,50.73643857537926,4.649935387130403
Gavere-Asper,50.930582049355856,3.639434052959724
Gedinne,49.98409071470052,4.97816774883466
Gedinne-Marchandises,49.98522277357419,4.978550757453018
Geel,51.169052549858385,4.989631494192635
Gembloux,50.57124514484745,4.690630393213297
Gendron-Celles,50.210804056411945,4.964650876726329
Genk,50.967071021620654,5.498086693151217
Genly,50.39072345653245,3.911927656249831
Gentbrugge,51.03878033373764,3.756083021687756
Gentbrugge-Perron C.W.,51.029577695344535,3.752448334641758
Gent-Dampoort,51.056728987048956,3.740515250330524
Gent-Sint-Pieters,51.03551971701421,3.710101315832923
Gent-Sint-Pieters-Bundels,51.03655378653426,3.703917085694866
Gent-Zeehaven,51.06598100153959,3.742663995497723
Genval,50.726467561824926,4.513841930930245
Geraardsbergen,50.770949248522925,3.872417489184951
Ghlin,50.487523509938555,3.90639438934079
Glaaien,50.750527352637484,5.535236934399886
Godarville,50.49295177248584,4.290252782915575
Godinne,50.3488506246698,4.869974117956068
Gontrode,50.97984015695545,3.801555019043831
Gouy-lez-Piéton,50.49572848742678,4.324807411007554
Graide,49.93372052397986,5.043616894147011
Groenendaal,50.766147386895206,4.44935705453385
Groenenhoek-Wijkbundel,51.195260729841756,4.436899106793597
Groot-Bijgaarden,50.86839848514289,4.274515963982332
Grupont,50.09050446184591,5.280534452223534
Haacht,50.96626270702382,4.613329769481095
Haacht-Wijkspoor,50.96428726510442,4.621727735484607
Haaltert,50.907066641303196,4.021716617534101
Habay,49.7182543711221,5.632255946759036
Hainin,50.42802710763502,3.766794741414823
Halanzy,49.55597176168689,5.742228911420838
Halle,50.733060256649814,4.239823954453461
Halle-Goederen,50.73856640826248,4.245188244191178
Hambos,50.944395574176696,4.663253957778934
Hamoir,50.42832918725482,5.533840033385975
Hamont,51.24610100168093,5.541909994902332
Ham-sur-Heure,50.320541575191406,4.405047354650665
Ham-sur-Sambre,50.45281278225799,4.672912869837899
Hansbeke,51.07270818510425,3.537446874067181
Harchies,50.48205917063363,3.699302076649094
Harelbeke,50.85629094542211,3.314655510959286
Haren,50.888870897054744,4.420030838936388
Haren-Zuid,50.889616892134654,4.415076991166356
Hasselt,50.93094539063631,5.326071324066093
Hasselt-Aflos L.35/1,50.93754709381578,5.304095840101176
Hasselt-Afwisseling,50.936263455001104,5.303919561361893
Hatrival,49.98992354993526,5.320445814528347
Haute-Flône,50.55424859743379,5.331294580631765
Haversin,50.24958547235042,5.193879552914665
Haversin-Garage,50.25045779143735,5.192954824931276
Havinnes,50.61882981688033,3.49566068071467
Havré,50.47086130374264,4.058356446670643
Heide,51.365383737807456,4.460868704766986
Heist,51.334177499078464,3.240489638663327
Heist-op-den-Berg,51.073554825164585,4.709356990822297
