station,min_delay
Bergen,-4
Weerde,-4
Welle,-4
Terhagen,-3
Angleur,-3
Baasrode-Zuid,-3
Baulers,-3
Beersel,-3
Bockstael,-3
Brugge,-3
Buggenhout,-3
Chênée,-3
Couillet,-3
Courcelles-Motte,-3
Ecaussinnes,-3
Ede,-3
Edingen,-3
Farciennes,-3
Flawinne,-3
Flémalle-Haute,-3
Floreffe,-3
Fraipont,-3
Gent-Zeehaven,-3
Ghlin,-3
Haren,-3
Hasselt-Aflos L.35/1,-3
Havré,-3
Herzele,-3
Heusden,-3
Hillegem,-3
Holleken,-3
Jette,-3
Kinkempois-Formation,-3
Lebbeke,-3
Lonzée,-3
Marchienne-au-Pont,-3
Moensberg,-3
Momalle,-3
Mortsel-Deurnesteenweg,-3
Neerpelt,-3
Olne,-3
Remicourt,-3
Ronet,-3
Roux,-3
Sint-Genesius-Rode,-3
Thieu,-3
Trooz,-3
Ukkel-Kalevoet,-3
Ukkel-Stalle,-3
Verviers-Paleis,-3
Wezet,-3
Zele,-3
Zolder-Kruissporen,-3
Haute-Flône,-2
Linkebeek,-2
Lokeren-Oost,-2
Jurbeke,-2
Jemeppe-sur-Sambre,-2
Jemappes,-2
Java,-2
Marche-en-Famenne,-2
Marche-les-Dames,-2
Marche-les-Dames-Marchandises,-2
Izegem-Sas,-2
Marloie,-2
Ingelmunster,-2
Ieper,-2
Melle-T.W.,-2
Melsele,-2
Merchtem,-2
Hermalle-sous-Huy,-2
Heizijde,-2
Yvoir,-2
Mollem,-2
Mont-Saint-Guibert,-2
Havinnes,-2
Haversin-Garage,-2
Moustier,-2
Moustier-Garage,-2
Hasselt,-2
Munkzwalm,-2
Ham-sur-Sambre,-2
Nessonvaux,-2
Nieuwkerken-Waas,-2
Gent-Dampoort,-2
Gendron-Celles,-2
Olen,-2
Geel,-2
Opwijk,-2
Franière,-2
Oudenaarde,-2
Pepinster,-2
Philippeville,-2
Fexhe-le-Haut-Clocher,-2
Faux,-2
Pry,-2
Quaregnon,-2
Rhisnes,-2
Rhisnes-Sas,-2
Roeselare,-2
Ronet-Vorming,-2
Erbisoeul,-2
Engis,-2
Dolhain-Gileppe,-2
Sint-Denijs-Boekel,-2
Ampsin,-2
Ciney,-2
Châtelet,-2
Château-de-Seilles,-2
Sint-Martens-Bodegem,-2
Charleroi-West,-2
Ternat,-2
Burst,-2
Amay,-2
Brugge-Sint-Pieters,-2
Bracquegnies,-2
Tilly,-2
Bordet,-2
Aat,-2
Vichte,-2
Boechout,-2
Voroux,-2
Bertrix,-2
Beervelde,-2
Anzegem,-2
Le Campinaire,-2
Lauwe,-2
La Roche(Brabant),-2
Lessen,-2
La Louvière-Centrum,-2
Libramont,-2
Ligny,-2
Kinkempois-Relais,-2
Zeebrugge-Vorming,-1
Beignée,-1
Leuze,-1
Zottegem,-1
Statte,-1
Stockem,-1
Sy,-1
Tamines,-1
Naninne,-1
Villers-la-Ville,-1
Blanmont,-1
Lobbes-Garage,-1
Lodelinsart,-1
Opzullik,-1
Sart-Bernard,-1
Lommel,-1
Kiewit,-1
Ernage,-1
Poix-Saint-Hubert,-1
Flémalle-Annexe,-1
Luik-Carré,-1
Godinne,-1
Céroux-Mousty,-1
Lustin,-1
Wildert,-1
Jemeppe-Froidmont,-1
Hamoir,-1
Eine,-1
Jamioulx,-1
Poulseur,-1
Viane-Moerbeke,-1
Thuin,-1
Thulin,-1
Walcourt,-1
Viville,-1
Marchienne-Zone,-1
Doornik,-1
Izegem,-1
Mariembourg,-1
Tielen,-1
Bressoux,-1
Namêche,-1
Mazy,-1
Wervik,-1
Bilzen-Wijkspoor,-1
Houyet,-1
Hourpes,-1
Sclaigneaux,-1
Habay,-1
Melreux-Hotton,-1
Seraing,-1
Menen,-1
Kortrijk,-1
Diesdelle,-1
Hoei,-1
Bois d'Ausse,-1
Ougrée,-1
Komen,-1
Messancy,-1
Overpelt,-1
Gembloux,-1
Bilzen,-1
Moeskroen,-1
Barvaux,-1
Boondaal,-1
Ninove,-1
Comblain-la-Tour,-1
Rivage,-1
Andenne,-1
Bomal,-1
Aubange,-1
Anseremme,-1
Haversin,-1
Essene-Lombeek,-1
Rochefort-Jemelle,-1
Chastre,-1
Leval,-1
Bokrijk,-1
Verviers-Centraal,-1
Yves-Gomezée,0
Leignon,0
Idegem,0
Iddergem,0
Houraing,0
Tilff,0
Boussu,0
Hofstade,0
Herne,0
Herentals,0
Tollembeek,0
Tongeren,0
Mol,0
Zandbergen,0
Zingem,0
Heist,0
Heide,0
Turnhout,0
Kinkempois-Réception,0
Acren,0
Landelies,0
Hasselt-Afwisseling,0
Muizen-Goederen,0
Hamont,0
Halle-Goederen,0
Grupont,0
Veurne,0
Glaaien,0
Geraardsbergen,0
Ninove-Wijkspoor,0
Noorderkempen,0
Genly,0
Genk,0
Lierde,0
Okegem,0
Koksijde,0
Zeebrugge-Dorp,0
Oostende-Perron T.O.P.,0
Gavere-Asper,0
Galmaarden,0
Blankenberge,0
Franchimont,0
Frameries,0
Papegem,0
Forrières,0
Pepinster-Cité,0
Fontaine-Valmont,0
Bissegem,0
Fleurus,0
Binche,0
Poperinge,0
Waarschoot,0
Evergem,0
Quévy,0
Quiévrain,0
Rebaix,0
Zeebrugge-Strand,0
Berzée,0
Eupen,0
Ronse,0
Essen,0
Esneux,0
Erquelinnes-Dorp,0
Erquelinnes,0
Knokke,0
Beauraing,0
Schaarbeek-P.C.I.,0
Eke-Nazareth,0
Eichem,0
Eeklo,0
Duinbergen,0
Schendelbeke,0
Dinant,0
Diksmuide,0
Dave-Saint-Martin,0
Couvin,0
Court-Saint-Etienne,0
Cour-sur-Heure,0
Aye,0
Wevelgem,0
Châtelet-Formation,0
Aarlen,0
Athus,0
Assesse,0
