station,arrival_delay,departure_delay,min_arrival_delay,min_departure_delay,max_arrival_delay,max_departure_delay
Brugge,2.3335996276355304,2.2991110573173028,-63,-3,262,180
Brugge-Sint-Pieters,1.8966269649659316,2.1459004477833662,-2,-2,234,234
Brussel-Centraal,2.9657778471519997,3.5099511890822374,-12,-12,213,160
Brussel-Congres,2.7819512572287526,2.8233927452846169,-12,-12,161,161
Brussel-Kapellekerk,2.8468639037874319,2.8673138878812842,-12,-12,159,159
Brussel-Luxemburg,2.3806230370936253,2.5375249092173705,-11,-5,119,117
Brussel-Noord,2.7082403149803707,2.7354629448734515,-29,-15,169,161
Brussels Airport - Zaventem,2.3854099350118893,1.9642995252617348,-13,-13,112,110
Brussel-Schuman,2.3673853345765266,2.687188477997062,-6,-7,146,118
Brussel-West,2.9518162107576703,2.9577861051629788,-6,-6,109,109
Brussel-Zuid,2.8133994188607013,2.9782536813332158,-27,-14,160,157
Buda,2.2404586737932871,2.3648823962907237,-10,-10,168,168
Buggenhout,2.249033931375815,2.7325032080224324,-3,-3,96,96
Buizingen,2.6614814404022479,2.7149933659718273,-19,-19,163,163
Burst,2.0113462480516589,2.1793281722726464,-2,-2,132,132
Callenelle,2.0949464211402414,2.0976721806075739,-5,-5,101,101
Cambron-Casteau,3.2086011631466177,4.4946066131370581,-8,-8,90,90
Carlsbourg,1.7258986566282846,2.541005378720896,-11,-11,90,91
Carnières,1.4881609120094346,1.8243065550176632,-11,-11,81,81
Céroux-Mousty,1.7448975684472525,2.7494835725374648,-1,-1,53,53
Chapelle-Dieu,6.84375,6.84375,0,0,25,25
Chapois,0.85421727972626176167,2.0764377633526933,-2,0,41,42
Charleroi-A.T.,1.3166666666666667,,1,,1,
Charleroi-Centraal,2.1059655893230423,1.9579408908162804,-7,-39,113,90
Charleroi-Faisceau A,3.480829420970266,3.3244103773584906,-8,-8,46,43
Charleroi-West,0.980807316304005045,1.2388755444529849,-2,-2,114,113
Chastre,2.1891853397034744,2.5021231993722325,-2,-1,142,142
Château-de-Seilles,2.5302201352450341,2.6765966344384597,-2,-2,148,148
Châtelet,1.8025477391906599,2.1470702194413729,-4,-2,94,94
Châtelet-Formation,5.8459259259259259,5.8459259259259259,0,0,16,16
Chaudfontaine,2.3264295902489627,2.592781608451221,-4,-4,119,119
Chênée,2.1038562451412283,2.5865390847809178,-3,-3,118,118
Ciney,1.2785187539732994,1.3376716125181206,-2,-2,54,47
Comblain-la-Tour,3.4367360488663148,4.3676161696225107,-1,-1,72,74
Couillet,1.6894938870909745,2.1005248425472358,-3,-3,93,93
Courcelles-Motte,2.71745553643144,3.021724375538329,-3,-3,109,109
Courrière,0.996787983238713165,1.8324957784532253,-1,-4,51,51
Cour-sur-Heure,2.3178164415784564,2.4610834143968872,0,0,76,76
Court-Saint-Etienne,2.9349790715372907,3.118337450905866,-2,0,53,53
Couvin,2.5490819209039548,0.74850495617268780167,0,0,72,36
Dave-Saint-Martin,0.89836068341437061,1.9655037971250339,-3,0,99,99
De Hoek,2.871058074198803,3.0249380121234275,-6,-6,87,87
Deinze,2.760894131125345,3.2555718475073314,-57,-57,154,117
Deinze-Wijksporen,2.9884554982907318,2.9932058757179794,-57,-57,116,123
Delta,1.6048956531765248,2.3266843910411344,-11,-11,91,90
Denderleeuw,2.7773567817304275,2.5857674639331815,-50,-7,173,414
Dendermonde,2.9249763917618491,2.1214889901807379,-32,-8,145,97
De Panne,3.6161680911680912,0.79324213003824654333,0,-16,75,34
De Pinte,2.7555796662629525,3.0995521697125835,-57,-57,119,123
Diegem,2.8005607648464791,2.938649774744676,-8,-8,164,164
Diepenbeek,1.6042743277568538,1.9048536728124085,-11,-11,89,91
Diesdelle,1.0446516853932584,2.4433112650900964,-4,-1,119,120
