station,max_delay
Melsele,96
Antwerpen-Zuid,96
Machelen,96
Profondsart,97
Malderen,97
Terhulpen,97
Genval,97
Oudegem,98
Schoonaarde,98
Londerzeel,98
Kapelle-op-den-Bos,98
Péruwelz,98
Harchies,98
Blaton,98
Jambes-Oost,99
Familleureux,99
La Louvière-Industriestation,99
Dave-Saint-Martin,99
Marche-lez-Ecaussinnes,100
Maubray,100
Ecaussinnes,100
Melkouwen,101
Antoing,101
Gent-Zeehaven,101
Hever,101
Heist-op-den-Berg,101
Callenelle,101
Bissegem,102
Genk,103
Kiewit,103
Bokrijk,103
La Louvière-Centrum,103
Berlaar,103
Boechout,104
Lillois,105
Nijvel,105
Begijnendijk,106
Booischot,106
Boussu,106
Obaix-Buzet,107
Hoeilaart,107
Roux,108
Marchienne-au-Pont,108
Liers-Faisceau,108
Groenendaal,108
Boortmeerbeek,109
Courcelles-Motte,109
Brussel-West,109
Geel,109
Olen,109
Simonis,109
Thurn en Taxis,109
Kinkempois-Formation,109
Bosvoorde,110
Watermaal,110
Mol,111
Brussels Airport - Zaventem,112
Libramont,113
Roeselare,113
Charleroi-Centraal,113
Manage,113
Aalst,114
Charleroi-West,114
Erembodegem,114
Lede,114
Serskamp,114
Zedelgem,115
Lichtervelde,115
Haacht,115
Torhout,116
Deinze-Wijksporen,116
Aarsele,116
Tielt,117
Zingem,118
Eine,118
Eke-Nazareth,118
Gavere-Asper,118
Chênée,118
Mouterij,118
Angleur,118
Chaudfontaine,119
Verviers-Paleis,119
Evergem,119
De Pinte,119
Waarschoot,119
Diesdelle,119
Sleidinge,119
Welkenraedt,119
Dolhain-Gileppe,119
Trooz,119
Brussel-Luxemburg,119
Wondelgem,119
Luttre,119
Etterbeek,120
Sint-Job,120
Bouwel,120
Wolfstee,120
Boondaal,120
Eeklo,120
Kessel,120
Arcaden,121
Herentals,122
Aarschot,122
Leignon,122
Testelt,123
Hoboken-Polder,123
Tielen,123
Zichem,123
Langdorp,123
Boom,124
Niel,124
Hemiksem,124
Schelle,124
Turnhout,125
Antwerpen-Berchem,125
Ruisbroek-Sauvegarde,126
Mortsel,126
Mortsel-Oude God,126
Mortsel-Deurnesteenweg,126
Izegem,126
Sint-Niklaas-Oost,127
Lier,127
Izegem-Sas,127
Mortsel-Liersesteenweg,127
Diest,127
Schulen-Sas,128
Schulen,129
Ingelmunster,129
Hillegem,130
Sint-Truiden,130
Hove,130
Alken,131
Herzele,131
Anderlecht,131
Antwerpen-Centraal,131
Olne,131
Burst,132
Terhagen,132
Fraipont,132
Nessonvaux,132
Pepinster,132
Verviers-Centraal,132
Kontich-Lint,133
Limal,133
Zottegem,133
Bierges-Walibi,134
Ghlin,134
Ottignies-Relais,134
Zinnik,134
Neufvilles,134
Neufvilles-Garage,134
Masnuy-Saint-Pierre,134
Jurbeke,134
Waver,134
Florenville,134
Bertrix,135
Ede,135
Erbisoeul,135
Meiser,136
Bergen,136
Welle,138
Sint-Denijs-Boekel,138
Munkzwalm,138
Haaltert,138
Anzegem,139
Duffel,139
Sint-Katelijne-Waver,139
Oudenaarde,140
Kortenberg-Goederen,141
Heizijde,141
Opwijk,141
Vichte,141
Ronse,141
's-Gravenbrakel,141
Lembeek,142
Lebbeke,142
Tubeke,142
Mont-Saint-Guibert,142
Gembloux,142
Hennuyères-Garage,142
Blanmont,142
Chastre,142
Hennuyères,142
Sint-Gillis(Dendermonde),143
Ernage,143
Rhisnes-Sas,144
Lonzée,144
Hasselt-Afwisseling,144
Rhisnes,144
Hasselt,144
Saint-Denis-Bovesse,145
Dendermonde,145
Beuzet,145
Mechelen-Nekkerspoel,146
Brussel-Schuman,146
Sclaigneaux,147
Ottignies,147
Marche-les-Dames-Marchandises,147
Marche-les-Dames,147
Namur-Herbatte,147
Luik-Carré,147
Namen,147
Namêche,147
Château-de-Seilles,148
Hermalle-sous-Huy,149
Merchtem,149
Hoei,149
Amay,149
Ampsin,149
Luik-Sint-Lambertus,149
Engis,149
Jemeppe-sur-Meuse,150
Java,150
Haute-Flône,150
Andenne,150
Tilleur,150
Leman,150
Kortrijk,150
Bas-Oha,150
Flémalle-Grande,150
Statte,150
Flémalle-Haute,150
Pont-de-Seraing,151
Sclessin,151
Zellik,151
Jette,152
Bockstael,152
Wespelaar-Tildonk,153
Haacht-Wijkspoor,153
Wezemaal,153
Wijgmaal,154
Deinze,154
Hambos,154
Vorst-Zuid,156
Vertrijk,157
Tienen,158
Liedekerke,158
Mechelen,158
Belsele,158
Lokeren,159
Ezemaal,159
Sinaai,159
Brussel-Kapellekerk,159
Lokeren-Oost,159
Brussel-Zuid,160
Neerwinden,161
Landen,161
Lot,161
Beervelde,161
Ruisbroek,161
Brussel-Congres,161
Zaventem,163
Halle,163
Buizingen,163
Kortenberg,164
Diegem,164
Veltem,164
Erps-Kwerps,164
Gentbrugge,164
Gentbrugge-Perron C.W.,164
Gent-Dampoort,164
Nossegem,164
Haren-Zuid,164
Schaarbeek,167
Borgworm,167
Bleret,167
Remicourt,168
Buda,168
Momalle,169
Brussel-Noord,169
Fexhe-le-Haut-Clocher,169
Opzullik,170
Voroux,170
Vilvoorde,170
Eppegem,171
Bierset-Awans,172
Weerde,173
Denderleeuw,173
Mollem,174
Leuven,175
Luik-Guillemins,176
Oostende,179
Saint-Ghislain,182
Quaregnon,182
Jemappes,182
Herstal,185
Virton,187
Milmort,190
Liers,191
Herent,195
Asse,198
Havinnes,200
Leuze,202
Aat,203
Brussel-Centraal,213
Diksmuide,225
Kortemark,225
Doornik,229
Ans,230
Forchies,231
Brugge-Sint-Pieters,234
Nijlen,236
Beveren(Waas),253
Edingen,254
Drongen,262
Brugge,262
Oostkamp,262
Bellem,262
Beernem,262
Hansbeke,262
Landegem,262
Willebroek,274
Sint-Niklaas,275
Puurs,275
Bornem,275
Temse,275
Wichelen,280
Rixensart,284
Kwatrecht,285
Melle,285
Merelbeke,285
Schellebelle,286
Aalter,286
Gent-Sint-Pieters,287
Wetteren,288
Maria-Aalter,288
Basse-Wavre,339
Gastuche,340
