station,max_delay
Jambes-Oost,95
Kapellen-Wijkspoor,95
Kijkuit,95
Nieuwkerken-Waas,95
Wildert,95
Beveren(Waas),96
Baasrode-Zuid,96
Kapellen,96
Kalmthout,96
Buggenhout,96
Melsele,96
Schaarbeek-Perron P.C.I.,96
Machelen,96
Antwerpen-Zuid,96
Genval,97
Dendermonde,97
Profondsart,97
Malderen,97
Terhulpen,97
Rixensart,97
Harchies,98
Londerzeel,98
Oudegem,98
Kapelle-op-den-Bos,98
Blaton,99
Familleureux,99
Ottignies,99
La Louvière-Industriestation,99
Dave-Saint-Martin,99
Turnhout,99
Marche-lez-Ecaussinnes,100
Maubray,100
Melkouwen,101
Hever,101
Gent-Zeehaven,101
Callenelle,101
Ecaussinnes,101
Heist-op-den-Berg,102
Péruwelz,102
Bissegem,102
Eigenbrakel,102
Hasselt,103
Bokrijk,103
Kiewit,103
Berlaar,103
Wevelgem,103
Boechout,104
Lillois,105
Nijvel,106
Begijnendijk,106
Boussu,106
Fleurus,106
Booischot,106
Obaix-Buzet,107
Hainin,107
Liers,108
Luttre,108
Roux,108
Hoeilaart,108
Kinkempois-Formation,109
Courcelles-Motte,109
Simonis,109
Boortmeerbeek,109
Brussel-West,109
Thurn en Taxis,109
Marchienne-au-Pont,109
Groenendaal,110
Bosvoorde,110
Brussels Airport - Zaventem,110
Geel,110
Olen,110
Godarville,112
Roeselare,113
Charleroi-West,113
Watermaal,113
Erembodegem,114
Serskamp,114
Lede,114
Aalst,114
Haacht,115
Zedelgem,115
Lodelinsart,115
Torhout,116
Aarsele,116
Brussel-Luxemburg,117
Tielt,117
Deinze,117
Eke-Nazareth,118
Zingem,118
Gavere-Asper,118
Chênée,118
Brussel-Schuman,118
Angleur,118
Eine,118
Verviers-Paleis,119
Verviers-Centraal,119
Chaudfontaine,119
Wondelgem,119
Dolhain-Gileppe,119
Evergem,119
Sleidinge,119
Etterbeek,119
Mouterij,119
Waarschoot,119
Diesdelle,120
Moensberg,120
Wolfstee,120
Kessel,120
Bouwel,120
Sint-Job,120
Nijlen,120
Lier,120
Arcaden,121
Kortrijk,121
Boondaal,121
Aarschot,122
Zichem,123
Hoboken-Polder,123
Testelt,123
Langdorp,123
Deinze-Wijksporen,123
De Pinte,123
Herentals,123
Schelle,124
Hemiksem,124
Tielen,124
Niel,124
Boom,124
Ruisbroek-Sauvegarde,126
Mortsel-Deurnesteenweg,126
Mortsel-Oude God,126
Mortsel,126
Sint-Niklaas-Oost,127
Antwerpen-Centraal,127
Diest,127
Mortsel-Liersesteenweg,127
Izegem-Sas,127
Schulen-Sas,128
Izegem,128
Schulen,129
Ingelmunster,130
Hillegem,130
Olne,131
Sint-Truiden,131
Herzele,131
Alken,131
Anderlecht,132
Nessonvaux,132
Terhagen,132
Fraipont,132
Kontich-Lint,132
Antwerpen-Berchem,132
Burst,132
Pepinster,132
Trooz,132
Ghlin,134
Neufvilles-Garage,134
Bierges-Walibi,134
Neufvilles,134
Waver,134
Ottignies-Relais,134
Limal,134
Zinnik,134
Masnuy-Saint-Pierre,134
Erbisoeul,135
Ede,135
Zottegem,135
Jurbeke,135
Basse-Wavre,135
Welle,138
Oudenaarde,138
Haaltert,138
Sint-Denijs-Boekel,138
Munkzwalm,138
Anzegem,139
Duffel,139
Sint-Katelijne-Waver,139
Vichte,141
Antoing,141
Kortenberg-Goederen,141
Hennuyères,142
Chastre,142
Tubeke,142
Mont-Saint-Guibert,142
Lembeek,142
Blanmont,142
Hennuyères-Garage,142
's-Gravenbrakel,142
Ernage,143
Gembloux,143
Heizijde,143
Lebbeke,144
Hasselt-Afwisseling,144
Rhisnes,144
Lonzée,144
Rhisnes-Sas,144
Florenville,144
Beuzet,145
Saint-Denis-Bovesse,145
Sint-Gillis(Dendermonde),145
Namen,146
Marche-les-Dames,147
Marche-les-Dames-Marchandises,147
Sclaigneaux,147
Namêche,147
Namur-Herbatte,147
Luik-Sint-Lambertus,148
Château-de-Seilles,148
Andenne,148
Luik-Carré,148
Opwijk,148
Engis,149
Mechelen-Nekkerspoel,149
Hermalle-sous-Huy,149
Merchtem,149
Ampsin,149
Amay,149
Statte,150
Flémalle-Haute,150
Haute-Flône,150
Bas-Oha,150
Jemeppe-sur-Meuse,150
Java,150
Flémalle-Grande,150
Leman,150
Tilleur,150
Sclessin,151
Pont-de-Seraing,151
Luik-Guillemins,151
Asse,151
Hoei,151
Zellik,151
Bockstael,152
Jette,152
Wezemaal,153
Haacht-Wijkspoor,153
Wespelaar-Tildonk,153
Wijgmaal,154
Hambos,154
Leuven,154
Vorst-Zuid,156
Brussel-Zuid,157
Sint-Niklaas,157
Vertrijk,157
Liedekerke,158
Tienen,158
Ezemaal,159
Sinaai,159
Brussel-Kapellekerk,159
Lokeren-Oost,159
Lokeren,160
Brussel-Centraal,160
Beervelde,161
Neerwinden,161
Brussel-Congres,161
Brussel-Noord,161
Ruisbroek,161
Lot,161
Landen,162
Buizingen,163
Zaventem,163
Gentbrugge,164
Kortenberg,164
Gentbrugge-Perron C.W.,164
Nossegem,164
Veltem,164
Halle,164
Herent,164
Haren-Zuid,164
Erps-Kwerps,164
Diegem,164
Gent-Dampoort,165
Borgworm,167
Schaarbeek,167
Bleret,167
Remicourt,168
Buda,168
Edingen,169
Fexhe-le-Haut-Clocher,169
Momalle,169
Vilvoorde,169
Voroux,170
Eppegem,171
Opzullik,171
Bierset-Awans,172
Weerde,173
Ans,173
Mollem,174
Mechelen,174
Brugge,180
Bergen,182
Jemappes,182
Quaregnon,182
Herstal,189
Milmort,190
Hove,194
Havinnes,200
Leuze,203
Kortemark,225
Lichtervelde,225
Brugge-Sint-Pieters,234
Belsele,242
Oostkamp,262
Beernem,262
Gent-Sint-Pieters,262
Bellem,262
Drongen,262
Hansbeke,262
Aalter,262
Landegem,262
Willebroek,274
Bornem,275
Puurs,275
Temse,275
Schoonaarde,279
Wichelen,280
Melle,285
Merelbeke,285
Kwatrecht,285
Schellebelle,287
Wetteren,287
Maria-Aalter,288
Gastuche,340
Denderleeuw,414
Charleroi-A.T.,
