station,num_trains,avg_arrival_delay,avg_departure_delay
Fexhe-le-Haut-Clocher,131,2.4352051519734595,2.9957317469605357
Flawinne,143,1.7600875618042704,2.0607551602925925
Flémalle-Annexe,107,1.8148686649197929,1.8142008052661852
Flémalle-Grande,116,2.6759856995780018,3.0203694280480358
Flémalle-Haute,199,2.6658045748691192,2.6253269222324683
Fleurus,76,0.71574512402953986,1.3888653302492932
Florée,33,1.6579730687455705,1.6579730687455705
Floreffe,143,1.7187024300779459,2.1904697839158727
Florenville,33,1.9270972611602329,2.3640175646978368
Florival,145,0.923419832080709595,1.6762079849568517
Fontaine-Valmont,15,1.5502420962688693,3.373210401891253
Forchies,111,1.6838521868309521,2.0121381733276598
Forrières,32,1.9543886489080874,2.9004875568317779
Fraipont,130,2.2077989301106707,2.6633670535849383
Frameries,61,1.056474019088017,2.1927679921246001
Franchimont,33,0.59985007496251874,1.8062407132243685
Franière,143,1.9347949677230047,2.2647557423892735
Froyennes,93,1.994187187723055,2.6583594740706134
Galmaarden,45,2.2992957746478873,3.2197184843753872
Gastuche,145,0.92828748501274971667,1.6144483083022545
Gavere-Asper,65,1.6358166487903706,2.2446626789274767
Gedinne,30,2.4005029847446385,2.6798859455481972
Gedinne-Marchandises,30,2.297249621338062,2.297249621338062
Geel,70,3.0898720789685737,3.4042417057626663
Gembloux,104,1.9125336180984022,2.7174096011733514
Gendron-Celles,30,1.312829872994144,2.2450811243144424
Genk,99,5.6556490047659097,0.84430282292557741667
Genly,61,1.2724520383693046,2.3270173592845871
Gentbrugge,186,2.3508913460830942,2.7043481603294294
Gentbrugge-Perron C.W.,184,2.5951452468626544,2.5951646980703061
Gent-Dampoort,186,2.7156603924870207,3.1211983575573657
Gent-Sint-Pieters,630,3.0149345228580056,2.6951419875975378
Gent-Zeehaven,32,8.4384615384615385,7.0367521367521368
Genval,140,2.3826080025506137,2.6658682318104907
Geraardsbergen,121,3.2541142068069206,1.914463808675741
Ghlin,123,3.0663962443075833,3.2636976889444097
Glaaien,64,2.526782618118769,2.408579945799458
Godarville,94,1.0710454700079374,1.922706240830606
Godinne,67,1.0571550708036589,1.912984678310491
Gontrode,38,2.639872311827957,3.3703641411714454
Gouy-lez-Piéton,94,0.934001742028326895,1.874145130346462
Graide,30,1.5351433632237352,1.8841038118410381
Groenendaal,140,2.7374137596386286,3.2321709523683677
Groot-Bijgaarden,186,2.0855160136343694,2.8684048410380367
Grupont,32,1.790568567852673,2.8885425968923022
Haacht,219,2.1342219551282051,2.3808218089333969
Haacht-Wijkspoor,219,2.0755905133015827,2.0655224670451265
Haaltert,193,2.7674962754070448,2.8208286793255678
Habay,31,0.658071219950572905,1.4561116690845516
Hainin,60,1.912767024370675,3.5828521785618819
Halanzy,33,1.3244901528666877,2.4372680107246074
Halle,468,2.5547695301150146,2.8438143858480151
Halle-Goederen,168,1.5925062282012955,1.5925062282012955
Hambos,219,1.857548977343488,2.2680906164339899
Hamoir,35,4.2752921370568429,4.3398287467828153
Hamont,35,4.7498223039215686,0.79604029705381056667
Ham-sur-Heure,30,1.47129708470178,2.5485737916565803
Ham-sur-Sambre,136,1.9181709199140164,1.9181709199140164
Hansbeke,209,2.4069981867323549,2.5911340118019328
Harchies,109,1.9967393000156014,1.9990578466552256
Harelbeke,258,2.7746807314745827,3.014005141656553
Haren,246,1.6621267882592773,2.0370714770563395
Haren-Zuid,452,2.779155589445555,2.9344770501814988
Hasselt,319,3.8705005151564449,2.4625386389850058
Hasselt-Aflos L.35/1,2,3.9621212121212121,3.9621212121212121
Hasselt-Afwisseling,25,12.4577380952380952,11.7635802469135802
Hatrival,52,1.9816917182434424,1.9443322706340772
Haute-Flône,107,2.5501236066900754,2.8956283794854989
Haversin,34,0.21441642362898152833,1.7428122500285682
Haversin-Garage,34,0.93860277398817644333,0.93860277398817644333
Havinnes,84,2.3826205040371911,2.3814904552129222
Havré,109,1.6281537105468353,2.0910116041264138
Heide,40,2.2412370386483939,2.6568532608695652
Heist,36,0.91240839151123615,2.031448237694995
Heist-op-den-Berg,171,2.191071904198762,2.517486051889094
Heizijde,147,2.4933038880649945,3.0234847996562466
Hemiksem,87,1.4375727615134395,2.7128969015044964
Hennuyères,220,2.2527190248246688,2.5667210057673546
Hennuyères-Garage,220,2.3302662165838217,2.3311499987635087
Herent,449,2.9114837609305767,2.9359287031863054
Herentals,141,2.752212577210628,3.2504341339439833
Hermalle-sous-Huy,107,2.7136793019471655,2.7134902693139375
Herne,45,2.2743543723202712,2.9601843603068547
Herseaux,93,1.8692111363737684,2.8622877777777778
Herstal,238,1.8733209869284888,1.8896805669279058
Herzele,193,2.0338330700791547,2.2185061837377061
Heusden,37,2.2987829935198356,3.0606556331515673
Hever,219,1.9547996794871795,2.2295849328214971
Heverlee,144,1.1372508977042596,1.8340401253491382
Hillegem,193,1.8388939345371657,2.2888722301053966
Hoboken-Polder,87,0.57300349441745504167,1.5943744914129085
Hoei,107,2.5109213301967021,2.9290803994268902
Hoeilaart,140,3.0036841224104964,3.1911742424242424
Hofstade,126,1.9361551906536038,2.7233301352339181
Holleken,253,2.7139338873162268,2.8967981254944921
Hony,35,3.1860940798070158,3.8717537014805922
Houraing,37,3.2967310653786924,5.1006324342435919
Hourpes,15,1.5368496283590623,2.5939298945568538
Houyet,30,2.0966759932848349,2.5593654519710858
Hove,469,2.5402608983134505,2.706153420478695
Huizingen,173,1.1511576644792193,1.9716169801253835
Iddergem,39,2.30394636352955,3.1008877208351584
Idegem,39,2.8767362329007366,4.0402868984035257
Ieper,37,2.680828038413555,2.9165741864632102
Ingelmunster,151,1.9023567916314322,2.3189273361816674
Izegem,151,1.9633056460112952,2.4328996340418905
Izegem-Sas,151,2.0573763104217068,2.0574177735610373
Jambes,121,1.8355728733197145,1.3601193810608607
Jambes-Oost,33,1.0936080511355909,2.1933981266995669
