route,train,station,latitude,longitude
L 13-2,5977,Aarlen,49.679971210545986,5.810609705951418
L 28,876,Wichelen,51.001758503990175,3.974883903141969
L L1-1,5275,Luik-Guillemins,50.62555824033023,5.565379651677738
IC 31,3105,Eigenbrakel,50.68475914261351,4.37582344502392
L 11,6077,Paliseul,49.89495830705849,5.119206133526989
L 28,855,Deinze,50.9781328604359,3.535002801077202
IC 04-1,705,Antwerpen-Berchem,51.1988702961587,4.432979473543215
L B10-1,2076,Jette,50.88120457651592,4.332923410788644
IC 08,2626,Veltem,50.90055001720875,4.633517445095211
IC 20,2227,Lebbeke,51.00475356147399,4.134881157174673
IC 08,2605,Mortsel-Deurnesteenweg,51.18231715581698,4.447187644772542
IC 20,2227,Heizijde,50.98889804389831,4.157254201988882
IC 01,505,Oostende,51.22794248315333,2.926625863197556
IC 01,527,Diegem,50.89062008445345,4.441952580833079
IC 01,527,Zaventem,50.885632548337114,4.469909600155111
IC 01,528,Nessonvaux,50.57198592493546,5.741746104791544
IC 29,3628,Brussel-Kapellekerk,50.841176483587425,4.347842850133666
L 28,855,Deinze-Wijksporen,50.9790461798649,3.540645659081197
IC 06-2,3726,Brussel-Noord,50.85959959838314,4.361252318634824
IC 06-1,1905,Doornik,50.615141816804844,3.388492484343276
IC 31,3105,Waterloo,50.715533973277154,4.383453531843166
IC 29,3629,Ezemaal,50.77212949781888,4.994219913271197
L B19,4004,Brussel-Schuman,50.842848617923735,4.380023585783107
IC 01,528,Fraipont,50.56512345525054,5.723431941853723
IC 02,1826,Lokeren,51.1070280724398,3.985383235145282
L B10-1,2076,Bockstael,50.87943983166831,4.348514000855896
IC 11,3405,La Louvière-Industriestation,50.48597883133482,4.193672918052559
IC 08,2626,Erps-Kwerps,50.89654505809275,4.584930600736926
IC 08,2605,Mortsel-Oude God,51.171808099384776,4.455388660748518
IC 23-2,2804,Brussel-Centraal,50.84531101978561,4.35675831766839
IC 01,527,Haren-Zuid,50.889616892134654,4.415076991166356
IC 04-1,727,Bissegem,50.82579327658622,3.224088411817595
L 28,876,Schellebelle,51.00312616442199,3.92143307788236
L B1-1,1776,Antwerpen-Centraal,51.216862033537794,4.421083629947415
IC 06-2,3726,Brussel-Congres,50.85178018311057,4.362219760072247
L 11,6077,Carlsbourg,49.903721616182835,5.09754707829283
IC 01,528,Olne,50.56639308394579,5.703133531852481
IC 22,3326,Antwerpen-Berchem,51.1988702961587,4.432979473543215
IC 08,2626,Kortenberg-Goederen,50.893766016593474,4.552069735832903
IC 20,2227,Opwijk,50.97461822357513,4.187540293365119
