route,train,departure
L B1-2,1956,2023-01-01 05:02:00.000000 +00:00
IC 17,2506,2023-01-01 05:03:00.000000 +00:00
L L1-1,5256,2023-01-01 05:04:00.000000 +00:00
L 08,6256,2023-01-01 05:04:00.000000 +00:00
L G2,1876,2023-01-01 05:05:00.000000 +00:00
L B10-1,2077,2023-01-01 05:06:00.000000 +00:00
IC 31,3106,2023-01-01 05:06:00.000000 +00:00
L 28,877,2023-01-01 05:06:00.000000 +00:00
IC 02,1827,2023-01-01 05:06:00.000000 +00:00
IC 04-1,728,2023-01-01 05:07:00.000000 +00:00
L B1-1,1756,2023-01-01 05:07:00.000000 +00:00
IC 25,3829,2023-01-01 05:08:00.000000 +00:00
L L1-1,5276,2023-01-01 05:08:00.000000 +00:00
IC 10,4306,2023-01-01 05:09:00.000000 +00:00
IC 25,3827,2023-01-01 05:09:00.000000 +00:00
IC 03,1505,2023-01-01 05:09:00.000000 +00:00
IC 31,3127,2023-01-01 05:09:00.000000 +00:00
L B3,2277,2023-01-01 05:09:00.000000 +00:00
IC 02,1806,2023-01-01 05:10:00.000000 +00:00
L B1-2,1976,2023-01-01 05:10:00.000000 +00:00
IC 23-1,2304,2023-01-01 05:11:00.000000 +00:00
L 23,2877,2023-01-01 05:11:00.000000 +00:00
L B2-2,3777,2023-01-01 05:11:00.000000 +00:00
IC 11,3427,2023-01-01 05:12:00.000000 +00:00
IC 11,3406,2023-01-01 05:12:00.000000 +00:00
IC 17,2527,2023-01-01 05:13:00.000000 +00:00
IC 25,3806,2023-01-01 05:13:00.000000 +00:00
L 01,4977,2023-01-01 05:13:00.000000 +00:00
IC 09,2928,2023-01-01 05:13:00.000000 +00:00
IC 29,3604,2023-01-01 05:13:00.000000 +00:00
IC 23-1,2329,2023-01-01 05:13:00.000000 +00:00
IC 25,3805,2023-01-01 05:14:00.000000 +00:00
IC 30,4206,2023-01-01 05:16:00.000000 +00:00
IC 17,2505,2023-01-01 05:16:00.000000 +00:00
L C1,4555,2023-01-01 05:17:00.000000 +00:00
L B8-4,6577,2023-01-01 05:17:00.000000 +00:00
IC 09,2927,2023-01-01 05:18:00.000000 +00:00
IC 06-2,3706,2023-01-01 05:19:00.000000 +00:00
L B20-1,3056,2023-01-01 05:22:00.000000 +00:00
L B2-2,3756,2023-01-01 05:22:00.000000 +00:00
L 16,5756,2023-01-01 05:22:00.000000 +00:00
L 28,856,2023-01-01 05:23:00.000000 +00:00
IC 01,529,2023-01-01 05:25:00.000000 +00:00
IC 22,3306,2023-01-01 05:27:00.000000 +00:00
IC 03,1529,2023-01-01 05:28:00.000000 +00:00
IC 09,2906,2023-01-01 05:28:00.000000 +00:00
IC 10,4327,2023-01-01 05:28:00.000000 +00:00
IC 25,3828,2023-01-01 05:29:00.000000 +00:00
IC 25,3804,2023-01-01 05:29:00.000000 +00:00
IC 06-2,3727,2023-01-01 05:31:00.000000 +00:00
L 02,556,2023-01-01 05:33:00.000000 +00:00
IC 23-2,2826,2023-01-01 05:33:00.000000 +00:00
L 10-2,956,2023-01-01 05:34:00.000000 +00:00
L 29,4856,2023-01-01 05:34:00.000000 +00:00
IC 29,3630,2023-01-01 05:35:00.000000 +00:00
IC 01,503,2023-01-01 05:36:00.000000 +00:00
IC 08,2606,2023-01-01 05:36:00.000000 +00:00
IC 08,2627,2023-01-01 05:36:00.000000 +00:00
L B6,1577,2023-01-01 05:37:00.000000 +00:00
IC 08,2628,2023-01-01 05:37:00.000000 +00:00
IC 04-1,706,2023-01-01 05:37:00.000000 +00:00
IC 32,827,2023-01-01 05:37:00.000000 +00:00
L C2-2,4376,2023-01-01 05:38:00.000000 +00:00
IC 23-2,2805,2023-01-01 05:39:00.000000 +00:00
L 01,4956,2023-01-01 05:39:00.000000 +00:00
IC 20,2228,2023-01-01 05:39:00.000000 +00:00
L C4,3927,2023-01-01 05:40:00.000000 +00:00
L C1,4576,2023-01-01 05:40:00.000000 +00:00
IC 22,3327,2023-01-01 05:40:00.000000 +00:00
IC 06-1,1928,2023-01-01 05:41:00.000000 +00:00
IC 20,2206,2023-01-01 05:41:00.000000 +00:00
L 27,2777,2023-01-01 05:42:00.000000 +00:00
IC 01,506,2023-01-01 05:43:00.000000 +00:00
L 02,577,2023-01-01 05:43:00.000000 +00:00
IC 06-1,1906,2023-01-01 05:44:00.000000 +00:00
L G3,656,2023-01-01 05:45:00.000000 +00:00
L B1-1,1777,2023-01-01 05:45:00.000000 +00:00
L 23,2856,2023-01-01 05:46:00.000000 +00:00
IC 09,2905,2023-01-01 05:46:00.000000 +00:00
L B8-4,6556,2023-01-01 05:48:00.000000 +00:00
L B19,4028,2023-01-01 05:48:00.000000 +00:00
IC 23-1,2306,2023-01-01 05:48:00.000000 +00:00
L G3,677,2023-01-01 05:49:00.000000 +00:00
L B19,4006,2023-01-01 05:50:00.000000 +00:00
L B3,2256,2023-01-01 05:51:00.000000 +00:00
IC 29,3606,2023-01-01 05:52:00.000000 +00:00
L C1,4578,2023-01-01 05:53:00.000000 +00:00
IC 03,1527,2023-01-01 05:53:00.000000 +00:00
L B8-2,5656,2023-01-01 05:54:00.000000 +00:00
L 04,4677,2023-01-01 05:54:00.000000 +00:00
L 24,4127,2023-01-01 05:54:00.000000 +00:00
L 10-2,977,2023-01-01 05:56:00.000000 +00:00
L B6,1556,2023-01-01 05:56:00.000000 +00:00
L B10-1,2056,2023-01-01 05:57:00.000000 +00:00
IC 23-1,2328,2023-01-01 05:57:00.000000 +00:00
L B20-1,3077,2023-01-01 05:57:00.000000 +00:00
IC 23-2,2828,2023-01-01 05:57:00.000000 +00:00
L B8-2,5677,2023-01-01 05:58:00.000000 +00:00
L 29,4877,2023-01-01 06:01:00.000000 +00:00
L B1-2,1957,2023-01-01 06:02:00.000000 +00:00
IC 23-2,2806,2023-01-01 06:03:00.000000 +00:00
L 08,6277,2023-01-01 06:03:00.000000 +00:00
IC 17,2507,2023-01-01 06:03:00.000000 +00:00
L L1-1,5257,2023-01-01 06:04:00.000000 +00:00
L G2,1857,2023-01-01 06:05:00.000000 +00:00
L G2,1877,2023-01-01 06:05:00.000000 +00:00
L 13-1,5877,2023-01-01 06:05:00.000000 +00:00
L L4,5177,2023-01-01 06:05:00.000000 +00:00
IC 02,1828,2023-01-01 06:06:00.000000 +00:00
L 28,878,2023-01-01 06:06:00.000000 +00:00
IC 31,3107,2023-01-01 06:06:00.000000 +00:00
L B10-2,3857,2023-01-01 06:06:00.000000 +00:00
L B10-1,2078,2023-01-01 06:06:00.000000 +00:00
L 29,4878,2023-01-01 06:06:00.000000 +00:00
IC 03,1530,2023-01-01 06:07:00.000000 +00:00
IC 23-2,2807,2023-01-01 06:07:00.000000 +00:00
L B1-1,1757,2023-01-01 06:07:00.000000 +00:00
L 37-2,4406,2023-01-01 06:07:00.000000 +00:00
IC 04-1,729,2023-01-01 06:07:00.000000 +00:00
IC 25,3830,2023-01-01 06:08:00.000000 +00:00
L 16,5777,2023-01-01 06:08:00.000000 +00:00
L L1-1,5277,2023-01-01 06:08:00.000000 +00:00
IC 03,1506,2023-01-01 06:09:00.000000 +00:00
IC 10,4307,2023-01-01 06:09:00.000000 +00:00
IC 31,3128,2023-01-01 06:09:00.000000 +00:00
L B3,2278,2023-01-01 06:09:00.000000 +00:00
IC 02,1807,2023-01-01 06:10:00.000000 +00:00
L B1-2,1977,2023-01-01 06:10:00.000000 +00:00
L L4,5157,2023-01-01 06:10:00.000000 +00:00
L C1,4557,2023-01-01 06:10:00.000000 +00:00
IC 23-1,2305,2023-01-01 06:11:00.000000 +00:00
L G1,778,2023-01-01 06:11:00.000000 +00:00
L 23,2878,2023-01-01 06:11:00.000000 +00:00
L B2-2,3778,2023-01-01 06:11:00.000000 +00:00
IC 11,3428,2023-01-01 06:12:00.000000 +00:00
IC 11,3407,2023-01-01 06:12:00.000000 +00:00
IC 17,2528,2023-01-01 06:13:00.000000 +00:00
L 10-1,6177,2023-01-01 06:13:00.000000 +00:00
IC 09,2929,2023-01-01 06:13:00.000000 +00:00
IC 23-1,2330,2023-01-01 06:13:00.000000 +00:00
IC 29,3605,2023-01-01 06:13:00.000000 +00:00
IC 25,3807,2023-01-01 06:13:00.000000 +00:00
L 11,6079,2023-01-01 06:14:00.000000 +00:00
L G1,757,2023-01-01 06:14:00.000000 +00:00
IC 20,2229,2023-01-01 06:15:00.000000 +00:00
IC 30,4207,2023-01-01 06:16:00.000000 +00:00
IC 01,530,2023-01-01 06:17:00.000000 +00:00
L B8-4,6578,2023-01-01 06:17:00.000000 +00:00
IC 10,4328,2023-01-01 06:19:00.000000 +00:00
IC 06-2,3707,2023-01-01 06:19:00.000000 +00:00
L 13-1,5857,2023-01-01 06:21:00.000000 +00:00
L B20-1,3057,2023-01-01 06:22:00.000000 +00:00
L B8-3,6357,2023-01-01 06:22:00.000000 +00:00
L B2-2,3757,2023-01-01 06:22:00.000000 +00:00
L 28,857,2023-01-01 06:23:00.000000 +00:00
IC 22,3307,2023-01-01 06:27:00.000000 +00:00
L 15,5579,2023-01-01 06:28:00.000000 +00:00
IC 09,2907,2023-01-01 06:28:00.000000 +00:00
L B8-3,6377,2023-01-01 06:30:00.000000 +00:00
IC 06-2,3728,2023-01-01 06:31:00.000000 +00:00
L 02,557,2023-01-01 06:33:00.000000 +00:00
IC 23-2,2827,2023-01-01 06:33:00.000000 +00:00
L 29,4857,2023-01-01 06:34:00.000000 +00:00
L C2-1,4278,2023-01-01 06:35:00.000000 +00:00
L L2,5477,2023-01-01 06:35:00.000000 +00:00
L 24,4107,2023-01-01 06:35:00.000000 +00:00
IC 29,3631,2023-01-01 06:35:00.000000 +00:00
IC 08,2607,2023-01-01 06:36:00.000000 +00:00
L B6,1579,2023-01-01 06:36:00.000000 +00:00
L B6,1578,2023-01-01 06:37:00.000000 +00:00
IC 04-1,707,2023-01-01 06:37:00.000000 +00:00
IC 32,807,2023-01-01 06:37:00.000000 +00:00
L 04,4657,2023-01-01 06:37:00.000000 +00:00
L L2,5457,2023-01-01 06:38:00.000000 +00:00
IC 22,3328,2023-01-01 06:40:00.000000 +00:00
L 27,2757,2023-01-01 06:40:00.000000 +00:00
IC 06-1,1929,2023-01-01 06:41:00.000000 +00:00
L 13-2,5979,2023-01-01 06:41:00.000000 +00:00
IC 20,2207,2023-01-01 06:41:00.000000 +00:00
L 27,2778,2023-01-01 06:42:00.000000 +00:00
L 02,578,2023-01-01 06:43:00.000000 +00:00
IC 01,507,2023-01-01 06:43:00.000000 +00:00
IC 06-1,1907,2023-01-01 06:44:00.000000 +00:00
L 15,5557,2023-01-01 06:44:00.000000 +00:00
L G3,657,2023-01-01 06:45:00.000000 +00:00
L B1-1,1778,2023-01-01 06:45:00.000000 +00:00
L 23,2857,2023-01-01 06:46:00.000000 +00:00
L B8-4,6557,2023-01-01 06:48:00.000000 +00:00
L B19,4029,2023-01-01 06:48:00.000000 +00:00
IC 23-1,2307,2023-01-01 06:48:00.000000 +00:00
L G3,678,2023-01-01 06:49:00.000000 +00:00
L B19,4007,2023-01-01 06:50:00.000000 +00:00
L B3,2257,2023-01-01 06:51:00.000000 +00:00
L 11,6057,2023-01-01 06:52:00.000000 +00:00
IC 29,3607,2023-01-01 06:52:00.000000 +00:00
L C2-1,4257,2023-01-01 06:52:00.000000 +00:00
L 26,4457,2023-01-01 06:52:00.000000 +00:00
IC 03,1528,2023-01-01 06:53:00.000000 +00:00
IC 30,4228,2023-01-01 06:54:00.000000 +00:00
L G3,679,2023-01-01 06:54:00.000000 +00:00
L 04,4678,2023-01-01 06:54:00.000000 +00:00
L B8-2,5657,2023-01-01 06:54:00.000000 +00:00
IC 03,1507,2023-01-01 06:54:00.000000 +00:00
L 24,4128,2023-01-01 06:54:00.000000 +00:00
IC 08,2629,2023-01-01 06:55:00.000000 +00:00
L B6,1557,2023-01-01 06:56:00.000000 +00:00
L 13-2,5957,2023-01-01 06:57:00.000000 +00:00
L B20-1,3078,2023-01-01 06:57:00.000000 +00:00
L B10-1,2057,2023-01-01 06:57:00.000000 +00:00
IC 23-2,2829,2023-01-01 06:57:00.000000 +00:00
L B8-2,5678,2023-01-01 06:58:00.000000 +00:00
L B1-2,1958,2023-01-01 07:02:00.000000 +00:00
IC 17,2508,2023-01-01 07:03:00.000000 +00:00
L 08,6258,2023-01-01 07:04:00.000000 +00:00
L L1-1,5258,2023-01-01 07:04:00.000000 +00:00
L B5-1,3379,2023-01-01 07:05:00.000000 +00:00
L L4,5178,2023-01-01 07:05:00.000000 +00:00
L G2,1878,2023-01-01 07:05:00.000000 +00:00
L G2,1858,2023-01-01 07:05:00.000000 +00:00
IC 31,3108,2023-01-01 07:06:00.000000 +00:00
L 29,4879,2023-01-01 07:06:00.000000 +00:00
IC 02,1829,2023-01-01 07:06:00.000000 +00:00
L B10-2,3878,2023-01-01 07:06:00.000000 +00:00
L B10-2,3858,2023-01-01 07:06:00.000000 +00:00
L B10-1,2079,2023-01-01 07:06:00.000000 +00:00
L 28,879,2023-01-01 07:06:00.000000 +00:00
L 02,558,2023-01-01 07:07:00.000000 +00:00
IC 03,1531,2023-01-01 07:07:00.000000 +00:00
L B1-1,1758,2023-01-01 07:07:00.000000 +00:00
IC 23-2,2808,2023-01-01 07:07:00.000000 +00:00
IC 04-1,730,2023-01-01 07:07:00.000000 +00:00
L 37-2,4429,2023-01-01 07:08:00.000000 +00:00
IC 25,3831,2023-01-01 07:08:00.000000 +00:00
L L1-1,5278,2023-01-01 07:08:00.000000 +00:00
L B3,2279,2023-01-01 07:09:00.000000 +00:00
IC 10,4308,2023-01-01 07:09:00.000000 +00:00
IC 31,3129,2023-01-01 07:09:00.000000 +00:00
L B1-2,1978,2023-01-01 07:10:00.000000 +00:00
IC 02,1808,2023-01-01 07:10:00.000000 +00:00
L L4,5158,2023-01-01 07:10:00.000000 +00:00
L 23,2879,2023-01-01 07:11:00.000000 +00:00
L B2-2,3779,2023-01-01 07:11:00.000000 +00:00
IC 11,3408,2023-01-01 07:12:00.000000 +00:00
IC 11,3429,2023-01-01 07:12:00.000000 +00:00
IC 23-1,2331,2023-01-01 07:13:00.000000 +00:00
IC 25,3808,2023-01-01 07:13:00.000000 +00:00
IC 09,2930,2023-01-01 07:13:00.000000 +00:00
IC 17,2529,2023-01-01 07:13:00.000000 +00:00
L 01,4979,2023-01-01 07:13:00.000000 +00:00
IC 20,2230,2023-01-01 07:15:00.000000 +00:00
L C4,3908,2023-01-01 07:15:00.000000 +00:00
L 10-1,6158,2023-01-01 07:16:00.000000 +00:00
IC 30,4208,2023-01-01 07:16:00.000000 +00:00
IC 01,531,2023-01-01 07:17:00.000000 +00:00
L B8-4,6579,2023-01-01 07:17:00.000000 +00:00
IC 10,4329,2023-01-01 07:19:00.000000 +00:00
IC 06-2,3708,2023-01-01 07:19:00.000000 +00:00
L 16,5758,2023-01-01 07:22:00.000000 +00:00
L B20-1,3058,2023-01-01 07:22:00.000000 +00:00
L B2-2,3758,2023-01-01 07:22:00.000000 +00:00
L B8-3,6358,2023-01-01 07:22:00.000000 +00:00
L 28,858,2023-01-01 07:23:00.000000 +00:00
IC 22,3308,2023-01-01 07:27:00.000000 +00:00
IC 09,2908,2023-01-01 07:28:00.000000 +00:00
L 10-2,958,2023-01-01 07:28:00.000000 +00:00
L C2-2,4358,2023-01-01 07:29:00.000000 +00:00
L B8-3,6378,2023-01-01 07:30:00.000000 +00:00
IC 06-2,3729,2023-01-01 07:31:00.000000 +00:00
L 29,4858,2023-01-01 07:34:00.000000 +00:00
L L2,5478,2023-01-01 07:35:00.000000 +00:00
L 24,4108,2023-01-01 07:35:00.000000 +00:00
IC 29,3632,2023-01-01 07:35:00.000000 +00:00
IC 08,2608,2023-01-01 07:36:00.000000 +00:00
L B6,1580,2023-01-01 07:36:00.000000 +00:00
IC 32,829,2023-01-01 07:37:00.000000 +00:00
IC 08,2630,2023-01-01 07:37:00.000000 +00:00
IC 04-1,708,2023-01-01 07:37:00.000000 +00:00
L 04,4658,2023-01-01 07:37:00.000000 +00:00
L C2-2,4378,2023-01-01 07:38:00.000000 +00:00
L 01,4958,2023-01-01 07:39:00.000000 +00:00
L C4,3929,2023-01-01 07:40:00.000000 +00:00
L 27,2758,2023-01-01 07:40:00.000000 +00:00
IC 22,3329,2023-01-01 07:40:00.000000 +00:00
IC 20,2208,2023-01-01 07:41:00.000000 +00:00
IC 06-1,1930,2023-01-01 07:41:00.000000 +00:00
L 27,2779,2023-01-01 07:42:00.000000 +00:00
L 02,579,2023-01-01 07:43:00.000000 +00:00
IC 01,508,2023-01-01 07:43:00.000000 +00:00
L L2,5458,2023-01-01 07:43:00.000000 +00:00
IC 06-1,1908,2023-01-01 07:44:00.000000 +00:00
L B5-1,3358,2023-01-01 07:45:00.000000 +00:00
L B1-1,1779,2023-01-01 07:45:00.000000 +00:00
L 26,4479,2023-01-01 07:45:00.000000 +00:00
L G3,658,2023-01-01 07:45:00.000000 +00:00
L 23,2858,2023-01-01 07:46:00.000000 +00:00
L C1,4580,2023-01-01 07:46:00.000000 +00:00
L B19,4030,2023-01-01 07:48:00.000000 +00:00
IC 23-1,2308,2023-01-01 07:48:00.000000 +00:00
L B8-4,6558,2023-01-01 07:48:00.000000 +00:00
L B19,4008,2023-01-01 07:50:00.000000 +00:00
L B3,2258,2023-01-01 07:51:00.000000 +00:00
IC 29,3608,2023-01-01 07:52:00.000000 +00:00
IC 03,1508,2023-01-01 07:54:00.000000 +00:00
L G3,680,2023-01-01 07:54:00.000000 +00:00
L 04,4679,2023-01-01 07:54:00.000000 +00:00
L 24,4129,2023-01-01 07:54:00.000000 +00:00
IC 30,4229,2023-01-01 07:54:00.000000 +00:00
L B8-2,5658,2023-01-01 07:54:00.000000 +00:00
L B6,1558,2023-01-01 07:56:00.000000 +00:00
L 10-2,979,2023-01-01 07:56:00.000000 +00:00
L B20-1,3079,2023-01-01 07:57:00.000000 +00:00
L B10-1,2058,2023-01-01 07:57:00.000000 +00:00
IC 23-2,2830,2023-01-01 07:57:00.000000 +00:00
L B8-2,5679,2023-01-01 07:58:00.000000 +00:00
L B1-2,1959,2023-01-01 08:02:00.000000 +00:00
IC 17,2509,2023-01-01 08:03:00.000000 +00:00
L 08,6279,2023-01-01 08:03:00.000000 +00:00
L L1-1,5259,2023-01-01 08:04:00.000000 +00:00
L G2,1859,2023-01-01 08:05:00.000000 +00:00
L L4,5179,2023-01-01 08:05:00.000000 +00:00
L G2,1879,2023-01-01 08:05:00.000000 +00:00
L 13-1,5879,2023-01-01 08:05:00.000000 +00:00
L B10-1,2080,2023-01-01 08:06:00.000000 +00:00
IC 31,3109,2023-01-01 08:06:00.000000 +00:00
IC 02,1830,2023-01-01 08:06:00.000000 +00:00
L B10-2,3879,2023-01-01 08:06:00.000000 +00:00
L 28,880,2023-01-01 08:06:00.000000 +00:00
L B10-2,3859,2023-01-01 08:06:00.000000 +00:00
L 29,4880,2023-01-01 08:06:00.000000 +00:00
L 37-2,4408,2023-01-01 08:07:00.000000 +00:00
L 02,559,2023-01-01 08:07:00.000000 +00:00
L B1-1,1759,2023-01-01 08:07:00.000000 +00:00
IC 04-1,731,2023-01-01 08:07:00.000000 +00:00
IC 23-2,2809,2023-01-01 08:07:00.000000 +00:00
IC 03,1532,2023-01-01 08:07:00.000000 +00:00
IC 25,3832,2023-01-01 08:08:00.000000 +00:00
L L1-1,5279,2023-01-01 08:08:00.000000 +00:00
L 16,5779,2023-01-01 08:08:00.000000 +00:00
IC 31,3130,2023-01-01 08:09:00.000000 +00:00
L B3,2280,2023-01-01 08:09:00.000000 +00:00
IC 10,4309,2023-01-01 08:09:00.000000 +00:00
L C1,4559,2023-01-01 08:10:00.000000 +00:00
L L4,5159,2023-01-01 08:10:00.000000 +00:00
IC 02,1809,2023-01-01 08:10:00.000000 +00:00
L B1-2,1979,2023-01-01 08:10:00.000000 +00:00
L 23,2880,2023-01-01 08:11:00.000000 +00:00
L G1,780,2023-01-01 08:11:00.000000 +00:00
L B2-2,3780,2023-01-01 08:11:00.000000 +00:00
IC 11,3409,2023-01-01 08:12:00.000000 +00:00
IC 11,3430,2023-01-01 08:12:00.000000 +00:00
L 10-1,6179,2023-01-01 08:13:00.000000 +00:00
IC 17,2530,2023-01-01 08:13:00.000000 +00:00
IC 23-1,2332,2023-01-01 08:13:00.000000 +00:00
IC 25,3809,2023-01-01 08:13:00.000000 +00:00
IC 09,2931,2023-01-01 08:13:00.000000 +00:00
L G1,759,2023-01-01 08:14:00.000000 +00:00
L 11,6081,2023-01-01 08:14:00.000000 +00:00
IC 20,2231,2023-01-01 08:15:00.000000 +00:00
IC 30,4209,2023-01-01 08:16:00.000000 +00:00
IC 01,532,2023-01-01 08:17:00.000000 +00:00
L B8-4,6580,2023-01-01 08:17:00.000000 +00:00
IC 10,4330,2023-01-01 08:19:00.000000 +00:00
IC 06-2,3709,2023-01-01 08:19:00.000000 +00:00
L 13-1,5859,2023-01-01 08:21:00.000000 +00:00
L B8-3,6359,2023-01-01 08:22:00.000000 +00:00
L B2-2,3759,2023-01-01 08:22:00.000000 +00:00
L B20-1,3059,2023-01-01 08:22:00.000000 +00:00
L 28,859,2023-01-01 08:23:00.000000 +00:00
IC 22,3309,2023-01-01 08:27:00.000000 +00:00
IC 09,2909,2023-01-01 08:28:00.000000 +00:00
L B8-3,6379,2023-01-01 08:30:00.000000 +00:00
IC 06-2,3730,2023-01-01 08:31:00.000000 +00:00
L 29,4859,2023-01-01 08:34:00.000000 +00:00
L 24,4109,2023-01-01 08:35:00.000000 +00:00
IC 29,3633,2023-01-01 08:35:00.000000 +00:00
L C2-1,4280,2023-01-01 08:35:00.000000 +00:00
L 15,5581,2023-01-01 08:35:00.000000 +00:00
L L2,5479,2023-01-01 08:35:00.000000 +00:00
L B6,1581,2023-01-01 08:36:00.000000 +00:00
IC 08,2609,2023-01-01 08:36:00.000000 +00:00
IC 08,2631,2023-01-01 08:37:00.000000 +00:00
IC 04-1,709,2023-01-01 08:37:00.000000 +00:00
L 04,4659,2023-01-01 08:37:00.000000 +00:00
IC 32,809,2023-01-01 08:37:00.000000 +00:00
L 27,2759,2023-01-01 08:40:00.000000 +00:00
IC 22,3330,2023-01-01 08:40:00.000000 +00:00
IC 20,2209,2023-01-01 08:41:00.000000 +00:00
IC 06-1,1931,2023-01-01 08:41:00.000000 +00:00
L 13-2,5981,2023-01-01 08:41:00.000000 +00:00
L 27,2780,2023-01-01 08:42:00.000000 +00:00
IC 01,509,2023-01-01 08:43:00.000000 +00:00
L L2,5459,2023-01-01 08:43:00.000000 +00:00
L 02,580,2023-01-01 08:43:00.000000 +00:00
IC 06-1,1909,2023-01-01 08:44:00.000000 +00:00
L 15,5559,2023-01-01 08:44:00.000000 +00:00
L B1-1,1780,2023-01-01 08:45:00.000000 +00:00
L B5-1,3359,2023-01-01 08:45:00.000000 +00:00
L G3,659,2023-01-01 08:45:00.000000 +00:00
L 23,2859,2023-01-01 08:46:00.000000 +00:00
IC 23-1,2309,2023-01-01 08:48:00.000000 +00:00
L B19,4031,2023-01-01 08:48:00.000000 +00:00
L B8-4,6559,2023-01-01 08:48:00.000000 +00:00
L B19,4009,2023-01-01 08:50:00.000000 +00:00
L B3,2259,2023-01-01 08:51:00.000000 +00:00
L 26,4459,2023-01-01 08:52:00.000000 +00:00
IC 29,3609,2023-01-01 08:52:00.000000 +00:00
L C2-1,4259,2023-01-01 08:52:00.000000 +00:00
L 11,6059,2023-01-01 08:52:00.000000 +00:00
L 04,4680,2023-01-01 08:54:00.000000 +00:00
IC 03,1509,2023-01-01 08:54:00.000000 +00:00
L 24,4130,2023-01-01 08:54:00.000000 +00:00
L G3,681,2023-01-01 08:54:00.000000 +00:00
IC 30,4230,2023-01-01 08:54:00.000000 +00:00
L B8-2,5659,2023-01-01 08:54:00.000000 +00:00
L B6,1559,2023-01-01 08:56:00.000000 +00:00
L B20-1,3080,2023-01-01 08:57:00.000000 +00:00
L B10-1,2059,2023-01-01 08:57:00.000000 +00:00
L 13-2,5959,2023-01-01 08:57:00.000000 +00:00
L B8-2,5680,2023-01-01 08:58:00.000000 +00:00
L B1-2,1960,2023-01-01 09:02:00.000000 +00:00
IC 17,2510,2023-01-01 09:03:00.000000 +00:00
L 08,6260,2023-01-01 09:04:00.000000 +00:00
L L1-1,5260,2023-01-01 09:04:00.000000 +00:00
L B5-1,3381,2023-01-01 09:05:00.000000 +00:00
L G2,1880,2023-01-01 09:05:00.000000 +00:00
L L4,5180,2023-01-01 09:05:00.000000 +00:00
L G2,1860,2023-01-01 09:05:00.000000 +00:00
L B10-2,3880,2023-01-01 09:06:00.000000 +00:00
L B10-2,3860,2023-01-01 09:06:00.000000 +00:00
IC 31,3110,2023-01-01 09:06:00.000000 +00:00
IC 02,1831,2023-01-01 09:06:00.000000 +00:00
L 28,881,2023-01-01 09:06:00.000000 +00:00
L 29,4881,2023-01-01 09:06:00.000000 +00:00
L B10-1,2081,2023-01-01 09:06:00.000000 +00:00
IC 23-2,2810,2023-01-01 09:07:00.000000 +00:00
L B1-1,1760,2023-01-01 09:07:00.000000 +00:00
IC 04-1,732,2023-01-01 09:07:00.000000 +00:00
L 02,560,2023-01-01 09:07:00.000000 +00:00
IC 03,1533,2023-01-01 09:07:00.000000 +00:00
L 37-2,4431,2023-01-01 09:08:00.000000 +00:00
IC 25,3833,2023-01-01 09:08:00.000000 +00:00
L L1-1,5280,2023-01-01 09:08:00.000000 +00:00
IC 10,4310,2023-01-01 09:09:00.000000 +00:00
IC 31,3131,2023-01-01 09:09:00.000000 +00:00
L B3,2281,2023-01-01 09:09:00.000000 +00:00
L L4,5160,2023-01-01 09:10:00.000000 +00:00
L B1-2,1980,2023-01-01 09:10:00.000000 +00:00
IC 02,1810,2023-01-01 09:10:00.000000 +00:00
L B2-2,3781,2023-01-01 09:11:00.000000 +00:00
L 23,2881,2023-01-01 09:11:00.000000 +00:00
IC 11,3410,2023-01-01 09:12:00.000000 +00:00
IC 11,3431,2023-01-01 09:12:00.000000 +00:00
IC 23-2,2831,2023-01-01 09:12:00.000000 +00:00
IC 09,2932,2023-01-01 09:13:00.000000 +00:00
IC 25,3810,2023-01-01 09:13:00.000000 +00:00
L 01,4981,2023-01-01 09:13:00.000000 +00:00
IC 17,2531,2023-01-01 09:13:00.000000 +00:00
IC 23-1,2333,2023-01-01 09:13:00.000000 +00:00
IC 20,2232,2023-01-01 09:15:00.000000 +00:00
L C4,3910,2023-01-01 09:15:00.000000 +00:00
IC 30,4210,2023-01-01 09:16:00.000000 +00:00
L 10-1,6160,2023-01-01 09:16:00.000000 +00:00
L B8-4,6581,2023-01-01 09:17:00.000000 +00:00
IC 01,533,2023-01-01 09:17:00.000000 +00:00
IC 10,4331,2023-01-01 09:19:00.000000 +00:00
IC 06-2,3710,2023-01-01 09:19:00.000000 +00:00
L 16,5760,2023-01-01 09:22:00.000000 +00:00
L B8-3,6360,2023-01-01 09:22:00.000000 +00:00
L B2-2,3760,2023-01-01 09:22:00.000000 +00:00
L B20-1,3060,2023-01-01 09:22:00.000000 +00:00
L 28,860,2023-01-01 09:23:00.000000 +00:00
IC 22,3310,2023-01-01 09:27:00.000000 +00:00
IC 09,2910,2023-01-01 09:28:00.000000 +00:00
L 10-2,960,2023-01-01 09:28:00.000000 +00:00
L C2-2,4360,2023-01-01 09:29:00.000000 +00:00
L B8-3,6380,2023-01-01 09:30:00.000000 +00:00
IC 06-2,3731,2023-01-01 09:31:00.000000 +00:00
L 29,4860,2023-01-01 09:34:00.000000 +00:00
L 24,4110,2023-01-01 09:35:00.000000 +00:00
L L2,5480,2023-01-01 09:35:00.000000 +00:00
IC 08,2610,2023-01-01 09:36:00.000000 +00:00
L B6,1582,2023-01-01 09:36:00.000000 +00:00
