delay,route
234,IC 02
212,IC 28
210,IC 04-1
188,IC 03
177,IC 01
166,IC 12
127,L G1
127,IC 23-2
126,IC 29
125,L G2
121,L 02
111,IC 20
101,L 24
89,L 28
76,L G3
