id,name,latitude,longitude,count
1091,Sleidinge,51.12643393786671,3.667545364505891,10767
951,Paliseul,49.89495830705849,5.119206133526989,9076
70,Aarlen,49.679971210545986,5.810609705951418,18129
539,Heide,51.365383737807456,4.460868704766986,9262
1128,Temse,51.12598622728998,4.221148549457797,12662
278,Komen,50.771963555146186,2.999344828949002,11648
1136,Thieu,50.46967181239604,4.098467909523017,29625
929,Oostende,51.22794248315333,2.926625863197556,36598
22,Amay,50.54592191603607,5.320609487870715,30667
764,Antwerpen-Luchtbal,51.24356131845809,4.424880242352095,19631
791,Marchienne-au-Pont,50.41221701003429,4.394312434115766,59909
1018,Roux,50.44308266140329,4.394000597539677,29184
1263,Zeebrugge-Vorming,51.315516978848294,3.189134716013176,9638
189,Boondaal,50.801951889621996,4.393613977537654,35769
632,Kapellen,51.31359271091834,4.432805301554844,9532
120,Basse-Wavre,50.72414363271483,4.621220383958832,19882
578,Holleken,50.767015163038835,4.354770803816823,54982
815,Melle,51.002749921068165,3.796939037051605,58349
19,Alken,50.886400235927916,5.291749444935051,11133
160,Bissegem,50.82579327658622,3.224088411817595,11693
644,Kontich-Lint,51.13368368793974,4.47689680687504,72091
824,Diesdelle,50.79612575604862,4.373898950394146,35770
1368,Hamont,51.24610100168093,5.541909994902332,10967
1262,Zeebrugge-Dorp,51.32659216206747,3.196840129702206,5681
1194,Virton,49.56075846267675,5.518329536948791,9699
266,Chênée,50.60835327318151,5.614856781125281,30991
366,Ernage,50.592425164448926,4.667147778258966,29866
1841,Aubange,49.5633161795773,5.800053519656957,9590
841,Mollem,50.932896546874765,4.216581185073014,31335
743,Lissewege,51.29470102888716,3.194426918229498,9638
10,Aarsele,50.98449587775488,3.41837146644795,12954
35,Antoing,50.569648067428595,3.451351534219263,19351
220,Brussel-Zuid,50.83580082886068,4.336052466325346,310127
1278,Zwijndrecht,51.213640244311954,4.324671903684774,48502
822,Merelbeke,51.020057593681734,3.764835020911601,56670
400,Flawinne,50.456249957652616,4.806300471605369,36500
13,De Panne,51.07726613110537,2.602401090227277,11320
391,Familleureux,50.519411502375476,4.211654529557394,19116
1266,Zellik,50.889543320907,4.275293625047353,31335
699,Lebbeke,51.00475356147399,4.134881157174673,31186
75,Assesse,50.368675498227645,5.021448905914102,9935
246,Callenelle,50.527311586615326,3.526278070673758,19350
128,Beersel,50.76636810390514,4.302343410248635,20016
906,Nieuwkerken-Waas,51.18508212954049,4.184439116403614,48970
745,Lobbes-Garage,50.3468040847804,4.257260015531566,3526
428,Flémalle-Annexe,50.59744524486694,5.473536463897578,15708
637,Kijkuit,51.37923641584364,4.467294323328127,9263
747,Lodelinsart,50.43241893769997,4.463036457517552,10712
164,Ninove-Wijkspoor,50.840910449255475,4.03458402182942,11425
501,Hainin,50.42802710763502,3.766794741414823,9982
750,Lommel,51.211527124043826,5.310537299130095,11453
977,Puurs,51.07712360025247,4.283513007479713,19914
528,Hatrival,49.98992354993526,5.320445814528347,5727
27,Angleur,50.61253000192086,5.600948994820556,41008
563,Herzele,50.89692470109805,3.879519908406242,37711
143,Beverlo,51.08864300170322,5.234550994995216,10591
811,Mechelen-Nekkerspoel,51.030011706650285,4.490206757525486,80210
496,Habay,49.7182543711221,5.632255946759036,8979
58,Antwerpen-Noorderdokken,51.261690357038965,4.427946720982024,16841
814,Melkouwen,51.095163902445975,4.67120807182244,31491
1009,Ronet,50.457655320725806,4.828601683088753,36500
382,Eupen,50.63530533532371,6.037148397876284,10914
438,Gembloux,50.57124514484745,4.690630393213297,30206
258,Charleroi-West,50.41220705285437,4.437641137969656,10713
378,Essene-Lombeek,50.882398692140114,4.115166601057234,18566
320,De Pinte,50.998952524822585,3.655383901672195,49844
1062,Sclaigneaux,50.49212088315084,5.026460713868468,30095
108,Balen-Werkplaatsen,51.204947001662255,5.245949995002284,11452
589,Houyet,50.19034554043201,5.005903558228376,9051
127,Beernem,51.127984351343564,3.329867037752411,58858
1167,Ukkel-Kalevoet,50.79221449555428,4.331745965347926,39234
567,Heverlee,50.86227660767446,4.69446096328772,19750
329,Dinant,50.260730671818045,4.908199789924007,20380
682,Landegem,51.06421597718289,3.57704576219589,58851
1144,Tielen,51.240861461973786,4.893344963001603,19120
153,Bierges-Walibi,50.707651778207,4.595155144797867,27920
507,Hambos,50.944395574176696,4.663253957778934,20964
664,Labuissière,50.316274429666755,4.186533133296718,3525
551,Hennuyères-Garage,50.6479509231809,4.173327027471045,54187
532,Haversin,50.24958547235042,5.193879552914665,5879
259,Charleroi-Centraal,50.40419960613283,4.438439317373349,89918
519,Harchies,50.48205917063363,3.699302076649094,19375
409,Florenville,49.70723922741239,5.331285482846186,9301
840,Mol,51.19069542549062,5.114991873356337,31216
521,Haren-Zuid,50.889616892134654,4.415076991166356,97681
324,Diepenbeek,50.9117654559103,5.41632753993968,11529
936,Ottignies,50.671773574303224,4.570373990520092,92850
921,Obourg-Marchandises,50.470021634500924,4.016410270720788,29626
249,Carlsbourg,49.903721616182835,5.09754707829283,9076
984,Quiévrain,50.41023300761624,3.685859498851387,9983
209,Brugelette,50.593960141371475,3.852911657073794,12002
74,Asse,50.90670257176685,4.208230395126666,31336
937,Ottignies-Relais,50.67913489314789,4.565488223292253,10857
34,Anseremme,50.238013493316494,4.905565624296302,8777
868,Moeskroen,50.73833321248668,3.225382514546805,15052
138,Belsele,51.15105293420193,4.088971325808107,54009
418,Forrières,50.13309074777786,5.276553146611916,5605
1229,Wervik,50.781855330951956,3.046976838293909,11647
1084,Sint-Mariaburg,51.29267549635015,4.43456517971565,9531
