station,delay,arrival_count,departure_count,difference_count
1168,1,5674,6725,3038
961,25,6,4,1
1159,9,280,311,1
1085,23,8,10,1
327,26,11,24,1
155,21,34,31,1
768,16,84,106,4
1255,11,50,58,2
726,20,156,101,6
192,5,274,300,4
788,1,1159,1590,1781
155,13,113,111,2
1224,13,345,336,2
684,8,653,629,16
231,6,363,474,1
1152,-1,96,67,6
908,1,3703,5216,1673
1245,2,1039,1291,107
1235,1,2112,3396,2949
1067,11,63,67,1
936,25,49,35,6
118,12,197,217,1
1120,0,69,216,48
523,-1,841,1,3499
157,6,162,184,5
539,19,36,42,1
1224,10,550,584,2
191,14,130,150,2
1228,1,5346,6062,1936
189,4,996,1329,32
810,16,352,305,14
1744,33,18,21,1
191,9,239,270,3
27,17,90,101,2
895,20,71,62,3
223,-3,3,20,23
818,1,1103,1944,4227
1843,12,15,34,2
493,10,111,126,2
725,8,1011,1056,6
418,1,759,1285,1380
227,4,3939,4312,119
412,8,16,34,1
212,1,5569,6715,2613
455,16,445,363,25
732,11,447,439,15
715,40,19,26,1
732,23,79,85,3
840,4,1165,1199,244
1278,16,142,142,1
1068,19,48,49,1
956,1,4615,4791,1830
1125,17,63,55,5
939,11,155,116,14
684,16,197,157,1
1102,52,2,3,1
910,1,3269,3068,151
916,0,51213,47556,104396
977,-2,92,86,190
798,36,2,2,1
114,0,4726,2879,6277
35,6,362,390,6
728,1,6069,7229,5597
1768,3,803,976,7
559,22,12,22,1
754,0,14496,12330,23527
368,8,1465,1492,1
1181,3,406,561,170
360,10,400,380,9
77,2,3420,2991,1912
820,20,30,33,1
620,11,173,161,1
793,8,31,32,1
37,2,10429,7788,1445
975,-4,43,43,1
37,0,42236,57185,8540
259,2,4696,3710,979
936,22,59,59,5
962,17,60,59,1
329,15,34,13,2
24,3,2080,2268,4
504,27,93,104,1
433,9,63,86,1
726,11,624,525,48
612,6,76,94,2
1174,1,15564,16637,1452
218,17,151,130,11
768,9,313,402,15
1047,4,45,15,1
400,8,357,376,4
221,40,51,61,2
1260,11,801,781,1
1212,5,592,726,22
629,1,92,247,275
899,-1,692,2,1499
720,-1,1564,89,11
190,0,11972,11026,19952
541,16,72,53,1
615,1,5741,5803,1475
383,11,206,202,3
715,17,378,269,13
908,18,55,59,2
257,0,3582,1882,3015
383,9,220,293,3
1151,3,416,222,5
199,14,183,178,1
824,58,3,1,1
139,40,34,33,1
936,18,86,81,9
1184,7,246,270,5
474,6,235,328,1
900,4,1814,1820,6
203,43,9,9,2
27,23,44,58,1
837,8,133,157,6
1218,19,105,98,1
764,-1,989,762,16
2011,0,10395,7946,11584
259,21,89,59,5
683,12,12,13,1
866,10,360,390,1
313,4,176,288,6
1177,14,118,127,5
684,12,279,229,7
619,7,554,593,2
1144,9,173,208,23
1048,5,5827,5660,178
1234,-2,282,30,5
557,0,13409,13408,30520
1081,0,20423,21272,30696
221,11,2096,2029,36
64,5,1352,1475,32
523,10,613,336,40
821,8,443,425,1
1102,8,459,480,9
1207,4,231,237,43
191,29,16,17,1
493,5,459,511,8
404,1,1118,1120,1762
866,8,554,611,3
177,34,28,31,1
347,5,300,440,3
748,14,221,239,7
1234,22,66,65,1
1068,14,103,119,1
578,3,3570,4125,30
814,1,4233,5578,8778
427,15,53,57,1
568,3,1532,1875,81
151,12,247,262,1
931,8,520,537,13
523,2,5166,3349,818
818,10,90,111,4
798,8,40,46,10
601,5,379,723,13
732,32,24,30,1
822,38,16,17,1
732,-1,1826,3,4250
335,1,6708,8526,6073
1350,0,4981,4374,8648
630,4,214,236,4
591,-4,2,2,2
342,36,9,8,1
920,2,1710,2609,1715
710,16,25,28,1
1005,5,368,475,11
501,11,69,86,2
1113,13,56,64,2
700,12,133,161,2
541,0,15266,15464,27457
897,11,28,30,1
221,37,55,64,3
191,-2,4,3,1
1767,11,196,253,1
317,4,1520,1835,48
229,1,7044,7482,3607
210,9,535,542,55
229,10,525,523,1
1761,0,5988,6768,7801
61,0,4,4,134
601,8,136,204,2
606,15,45,42,2
189,6,449,545,10
860,4,372,543,3
636,13,104,99,2
936,32,11,11,1
672,12,242,243,1
840,5,885,993,145
360,16,112,126,8
1265,6,298,441,88
1192,13,387,341,10
938,4,687,837,5
1063,4,1399,1528,4
751,0,10069,10681,9245
837,5,290,481,35
634,8,186,201,1
1419,20,26,26,1
1083,4,3533,3613,6
326,11,303,317,6
1017,1,607,2345,3472
8,2,3958,4527,1409
209,3,948,1339,8
612,2,1037,1194,22
215,27,247,259,1
910,-1,2,8,211
1135,6,8,9,1
523,17,123,94,8
521,4,4114,4391,63
541,20,42,42,1
649,29,44,23,2
418,2,403,714,648
715,-2,1289,7,2371
391,2,1098,1627,39
1141,6,150,204,2
1147,1,1442,2064,1874
617,3,505,377,13
1082,10,62,63,3
263,26,16,18,1
692,9,41,78,1
246,1,2005,2002,28
1092,24,24,25,1
991,2,1303,2966,654
399,2,1181,1795,118
82,7,430,458,1
939,9,279,164,26
591,9,49,103,1
1245,51,1,1,1
1184,56,1,3,1
1176,12,316,353,3
1224,40,10,10,1
380,-4,726,702,5
723,4,654,206,1
520,-1,84,8,8
632,0,4905,2482,3645
837,14,40,45,2
682,24,87,87,1
449,16,140,150,2
920,15,82,90,2
189,9,171,200,1
841,1,4269,5475,3490
325,2,11062,11682,486
632,3,352,597,72
906,2,3633,4376,59
550,12,310,323,1
142,6,483,596,5
644,13,359,378,2
22,7,577,646,2
1265,12,56,60,5
348,7,79,88,2
1226,5,439,433,60
1063,13,111,114,1
1168,2,3303,3722,69
649,31,36,21,3
684,21,97,82,4
78,11,39,35,3
252,10,39,52,2
184,1,1475,3964,4601
989,10,124,265,5
818,6,241,294,11
750,14,52,65,1
1087,31,4,3,1
941,12,33,28,1
455,32,74,89,4
1018,11,228,220,1
318,19,165,150,12
1048,22,259,263,1
715,5,4404,2977,398
479,2,322,987,145
1130,4,1173,1353,7
617,5,291,188,6
574,3,381,502,11
535,3,1107,2081,1888
247,8,207,323,2
368,4,3838,3964,6
1261,16,67,59,1
326,7,580,653,19
1260,10,943,963,1
121,3,1319,1910,575
617,11,52,32,3
519,0,11381,11380,19209
1577,15,92,93,1
231,3,1243,1651,71
1056,18,11,10,1
221,5,9853,9010,391
911,3,2620,2435,238
221,59,15,8,1
868,11,92,80,3
860,7,148,156,2
1147,16,30,37,1
585,3,138,300,133
870,1,3865,4560,5252
1151,13,42,20,1
989,22,10,17,2
247,7,299,436,1
121,12,208,234,7
1260,2,10284,10895,325
365,3,2402,2524,14
121,29,15,13,1
185,4,526,542,79
479,0,5978,3891,4747
939,40,4,9,1
535,7,357,391,6
1253,0,10170,6981,16789
281,4,1038,1260,32
1034,8,378,409,23
590,6,1468,1496,4
812,29,13,19,1
908,8,342,367,1
1031,1,4634,6298,2960
37,58,5,5,1
842,8,232,255,1
1144,28,11,19,1
486,2,4143,4904,306
805,7,353,378,1
421,35,6,6,1
1181,11,15,17,2
1088,11,362,314,23
360,24,40,41,3
455,-2,2457,2,7284
933,6,736,763,10
649,28,43,28,3
540,1,863,2193,5437
611,1,5803,3127,176
130,-2,23,19,4
9,20,82,74,1
31,0,16976,17831,28575
728,-1,1948,2,118
726,24,98,68,12
938,2,1757,2153,41
203,30,44,48,1
866,38,7,12,1
319,14,169,96,7
1213,25,35,24,3
699,15,93,96,1
976,2,944,975,92
258,9,31,40,1
1248,12,22,23,1
739,12,47,50,1
320,29,46,41,1
319,2,4932,3359,803
380,55,1,2,1
8,47,6,9,1
317,36,26,21,1
143,1,1184,1656,3437
219,14,248,182,3
602,5,257,302,16
606,11,71,80,1
383,12,183,191,1
384,5,1319,1561,135
933,15,109,109,2
458,20,37,21,1
1218,-1,853,1608,6723
1076,9,189,188,1
106,8,117,147,2
911,25,58,37,1
728,14,130,148,1
1761,9,99,85,2
1048,-1,9055,8429,656
604,-1,1031,7,8
704,4,108,152,12
732,8,922,918,36
590,4,2923,3039,12
570,19,10,8,2
895,6,1333,1117,126
329,2,913,1392,552
337,1,834,2247,7086
786,5,57,61,1
877,22,29,33,1
706,17,126,143,1
153,12,42,51,1
551,1,5739,5738,1
68,1,2522,4932,3847
227,13,289,348,3
1060,3,1270,1790,119
1068,9,279,316,2
1912,8,300,323,1
1082,7,132,138,3
848,24,60,42,5
977,14,42,53,4
706,11,320,361,2
871,8,214,255,1
125,0,11073,11073,21704
1176,19,147,147,1
590,5,2092,2153,5
975,7,762,833,1
436,22,22,24,1
579,19,18,15,1
938,6,326,358,3
504,-3,33,16,29
1147,3,716,951,11
1021,1,10921,13093,6959
1135,1,107,164,125
705,14,102,105,1
715,-1,7128,8,8962
400,2,2549,3080,145
363,0,51104,48241,75095
842,2,1246,1703,110
364,29,28,28,1
1272,7,92,115,7
2089,2,7842,7898,95
136,3,2996,3263,9
1151,1,1682,2268,233
705,1,4613,4735,4491
630,-2,28,2,5
860,2,1100,1605,69
1212,0,14229,12486,21154
100,6,30,51,8
604,3,1166,1324,28
995,7,482,476,4
733,11,114,120,15
1056,6,253,260,2
862,8,239,282,1
1223,35,1,2,1
559,0,6747,4390,9795
871,6,429,479,5
784,3,378,85,13
405,0,5711,5711,9877
710,23,2,4,1
1083,6,1800,1801,1
1145,7,216,244,4
352,8,82,106,1
258,14,9,22,2
210,26,86,58,8
724,2,3239,3453,547
619,11,194,223,2
791,16,147,150,2
151,5,1137,1397,35
648,4,4494,4653,21
956,10,253,257,2
218,4,3918,3883,1082
360,7,760,669,31
521,10,908,929,1
287,0,7147,5036,7919
167,0,15411,12904,27340
715,19,309,203,18
938,-2,22,22,1
554,5,1230,1394,210
34,7,142,139,1
415,-1,4525,3823,1
107,1,1142,1821,3282
811,39,16,17,2
810,41,14,17,2
705,6,747,811,2
572,0,10518,8974,35354
288,19,10,8,1
1150,7,219,272,2
636,7,249,232,2
27,32,12,16,1
151,16,124,135,1
559,7,214,264,4
885,0,15648,15648,27259
380,-2,1327,982,18
1034,46,10,4,1
931,7,684,729,25
968,11,30,39,1
542,5,926,1044,2
840,27,13,17,2
184,2,758,2101,585
975,3,2506,2691,49
628,3,2562,2675,247
468,0,1,1,2
654,1,6169,7098,3989
1270,0,21997,20189,39624
873,-1,216,194,6
402,0,14848,18838,21848
313,2,418,1246,227
1021,7,1140,1286,4
572,6,1361,1487,1
9,10,300,377,25
541,5,863,901,39
979,7,521,667,2
952,0,329,168,11934
199,2,3455,3959,181
707,3,1230,1530,2
139,12,1020,1086,18
458,50,2,2,1
991,7,261,286,5
192,3,553,721,17
74,6,864,861,3
383,22,45,56,2
1102,6,787,843,23
1081,1,6725,5116,1237
962,3,1115,1138,50
583,10,154,215,3
474,5,358,518,3
399,6,343,398,2
1159,1,4360,5691,5276
1265,2,1448,1911,429
212,0,16627,15173,28217
583,11,132,185,2
814,20,30,26,1
8,20,119,132,2
1207,2,979,835,405
213,0,4,4,25
320,7,720,814,9
592,2,2819,2872,411
278,1,2542,3828,2119
77,40,10,9,1
1226,19,38,27,1
798,6,74,69,17
1139,0,2171,834,1853
421,0,14955,14090,22305
724,5,775,841,57
514,6,75,111,8
1125,3,1850,2049,1608
447,11,294,319,1
288,7,87,107,1
1083,24,115,110,1
554,7,647,804,81
768,32,15,18,1
931,1,9994,10353,2051
326,9,456,450,12
936,41,8,2,1
107,4,544,655,4
1229,15,49,44,2
1266,9,318,353,2
418,6,106,151,7
962,31,18,18,1
1181,22,19,70,2
319,15,128,118,11
1226,16,49,24,1
1273,-3,1,2,1
715,8,1960,1378,144
798,10,20,27,14
1192,26,98,94,1
788,14,36,43,1
1082,18,9,9,1
422,2,336,1229,1692
962,40,6,7,1
121,8,357,420,8
171,2,1615,2111,53
606,7,191,207,3
64,47,8,10,1
977,0,8592,9691,9185
218,15,199,198,10
1073,47,8,6,1
700,4,1173,1406,25
1087,44,4,4,1
747,14,19,16,8
1160,-4,3,2,1
130,6,615,627,1
360,41,8,4,1
617,17,14,15,1
418,7,90,132,7
1090,5,448,606,59
105,3,885,1317,3
738,7,932,1082,12
873,11,125,135,1
819,32,11,14,1
1232,-3,27,27,7
151,34,12,12,1
644,1,9656,9590,477
1144,4,561,746,174
126,23,4,9,1
31,15,172,141,3
1843,1,2678,2831,387
866,2,4848,5673,738
708,13,63,72,2
546,9,35,64,3
961,22,5,6,1
958,21,28,30,1
1730,7,516,600,2
277,3,879,1284,515
1238,-4,39,42,2
395,16,9,17,2
77,13,186,194,9
647,0,6836,6436,9108
9,25,55,57,2
138,-4,1,2,1
184,7,212,243,6
781,5,537,661,2
449,14,218,200,3
1202,5,374,414,1
1219,0,10906,10817,37168
541,29,11,19,2
810,24,119,115,2
848,25,61,35,5
1058,2,4307,4292,77
931,10,357,373,6
628,33,18,18,1
502,9,44,76,6
1260,-1,5220,4892,301
873,2,2142,3485,930
1213,2,1439,1290,900
1159,16,85,83,1
897,1,1004,1854,4188
371,6,34,117,52
635,16,111,114,1
1034,4,1126,1099,102
195,0,4448,1761,5761
325,8,1642,1663,4
345,9,303,368,10
1083,0,37648,37540,74371
514,12,25,30,3
157,5,206,259,11
281,2,2373,3333,959
962,0,18709,18486,29866
1248,16,7,4,1
507,5,444,530,2
832,17,34,37,2
438,43,3,2,1
1135,0,436,370,541
521,3,6052,6576,172
327,5,249,241,29
1128,5,268,308,51
199,-4,31,31,2
1149,1,1197,1600,431
863,-3,12,11,2
220,14,1038,1084,53
336,5,2482,2514,3
146,1,3443,2175,1903
203,14,168,190,4
488,-1,53,1,2
402,18,80,61,1
64,34,13,16,1
409,-1,880,3,701
169,18,29,31,1
1059,15,22,24,1
427,18,33,41,1
136,4,2049,2198,1
1079,19,88,93,1
488,9,200,212,1
877,8,235,249,4
442,3,415,565,37
286,6,658,680,1
739,2,2033,3133,211
649,4,2130,1154,260
632,5,176,228,6
12,8,238,314,1
139,13,847,863,19
1663,9,246,263,1
751,18,20,16,2
535,1,3267,3699,583
1182,-1,1917,1,13
1842,6,88,128,1
16,12,133,151,1
855,6,725,733,3
730,3,2871,2909,388
900,5,1363,1351,2
1261,2,1600,2129,131
1092,21,49,32,1
351,6,146,204,1
205,6,1112,904,26
1159,15,65,67,1
171,5,478,511,4
1184,13,83,87,2
143,5,422,535,1
900,-1,824,929,3082
764,-2,310,310,4
1088,44,10,3,1
1160,6,1109,1174,9
790,6,254,279,1
751,17,30,25,1
728,2,3923,4377,333
860,16,23,30,1
1017,7,79,87,5
502,5,146,269,43
541,1,5448,5272,2970
74,4,1564,1595,6
201,0,16163,13671,25318
1063,20,47,52,1
749,0,28165,28166,53689
710,37,3,3,1
1021,5,2162,2422,16
1218,7,1000,1037,2
630,8,86,96,1
1229,6,217,295,15
1141,8,107,120,2
319,13,189,102,11
1146,7,766,829,14
815,11,387,400,4
480,-4,1,1,1
127,54,5,6,1
1087,1,3261,6544,5165
232,50,5,5,1
818,2,773,1126,415
1174,0,52497,50765,109167
1255,14,33,34,3
67,14,48,57,1
541,3,2033,2173,64
1146,9,469,526,5
16,1,4021,4253,7023
866,52,7,6,1
136,6,1119,1189,1
791,6,1060,1151,13
458,27,14,8,1
1059,1,2087,3055,2647
1146,10,408,415,4
701,5,812,898,11
68,25,7,3,1
188,7,59,90,22
1843,24,2,6,1
380,8,879,985,10
1034,18,86,54,1
249,6,195,260,1
1048,26,177,180,2
1213,7,274,315,14
977,9,93,109,30
815,22,62,69,2
64,7,753,840,11
1187,0,10793,10788,19223
352,2,506,632,156
1248,11,23,25,1
899,16,24,15,4
751,19,18,14,1
514,3,346,823,33
127,3,3130,3491,13
1125,32,10,11,1
221,13,1407,1409,24
424,43,5,5,1
864,1,8831,8943,558
436,8,390,437,2
704,10,36,32,1
8,49,4,7,1
25,7,589,639,2
203,27,70,75,2
139,16,491,559,6
1063,2,3032,3679,55
1152,4,615,769,16
360,18,94,96,4
1067,6,217,244,3
725,40,5,6,1
263,35,16,14,1
177,26,31,36,1
901,5,838,943,6
732,24,76,69,3
1260,3,6915,7197,102
327,9,86,57,24
579,5,448,540,2
832,1,1813,2188,2074
1174,-2,588,588,3
190,34,6,5,1
814,4,1056,1328,3
384,20,111,110,1
1245,5,253,325,18
203,26,64,73,1
184,27,17,21,1
724,11,169,163,10
318,16,276,214,19
748,3,3100,3430,316
840,10,246,302,28
68,15,14,22,1
1224,25,92,99,2
221,25,275,268,7
1211,0,6,6,47
151,-2,13,2,5
810,-4,2,1,316
974,1,1686,2070,1384
1092,6,513,493,9
504,18,206,215,4
223,0,4720,4757,10943
896,2,751,1052,49
704,6,48,64,1
1223,13,30,23,2
205,3,3034,2177,155
263,25,17,18,1
968,4,174,291,11
9,41,11,9,1
320,34,23,27,1
266,13,122,132,4
1224,12,364,389,4
1219,5,1767,1801,3
941,4,469,609,4
971,-2,2,2,22
261,2,2260,2611,58
1048,13,1008,971,5
360,11,296,308,10
781,12,62,71,1
1062,1,4160,5176,3470
911,31,39,29,1
837,20,10,16,1
923,2,1070,2021,193
1079,11,312,337,1
187,6,457,616,1
628,9,364,444,18
685,10,64,83,1
801,11,63,59,1
649,20,105,70,6
1350,9,169,173,1
751,14,51,42,2
791,7,816,831,8
911,7,728,725,24
649,7,870,477,72
191,1,9354,10329,6021
726,15,332,251,22
12,5,471,553,4
1048,-3,355,119,202
246,0,10838,10838,19194
221,19,549,492,16
649,8,650,404,64
1270,5,1008,1074,3
1218,3,4191,4568,65
267,6,668,711,5
724,36,13,11,1
589,18,10,13,1
203,8,773,860,54
329,5,258,254,27
812,7,613,696,7
438,0,12250,14985,14725
378,0,11229,10572,14752
319,37,13,10,1
837,18,23,22,1
614,4,1483,1482,1
1048,45,32,30,1
647,8,89,102,1
155,38,9,5,1
249,0,5543,4264,6623
730,4,1791,1807,241
1182,3,610,996,113
901,4,1167,1247,14
1085,5,199,275,1
209,0,4551,3034,8768
433,8,84,98,1
567,12,30,32,2
212,4,761,919,1
601,2,1701,2256,2852
31,6,728,759,54
788,7,212,251,3
724,58,2,3,1
157,12,63,56,2
1005,6,238,294,7
673,17,27,34,1
764,12,122,127,1
201,23,25,24,1
807,3,879,880,3
1147,7,234,295,2
634,4,632,768,10
118,-2,4,3,3
819,2,3828,4661,206
155,1,1889,2684,4119
604,13,49,44,1
592,57,1,3,1
151,9,400,453,4
523,28,35,20,1
916,10,1060,1085,1
1212,8,281,339,8
554,37,20,15,2
185,18,14,20,3
855,0,11817,11305,29565
710,1,2628,2362,378
486,9,498,602,1
219,-1,3531,1,3713
971,7,548,580,4
1073,5,1235,1437,6
1005,1,3115,3911,2350
649,45,7,3,1
715,25,158,127,5
502,2,624,1449,1157
1213,21,54,43,1
715,15,490,405,23
1182,7,165,200,2
378,14,68,72,1
933,1,5295,4980,151
278,-1,1,1,24
188,23,2,4,1
826,40,3,3,1
488,5,485,596,6
759,2,6052,7302,1115
335,14,243,243,1
402,32,5,6,1
789,1,4203,5297,3598
470,1,639,705,49
1083,33,40,38,1
1144,2,1111,1502,386
541,21,39,40,1
210,10,459,421,38
1218,-2,104,110,137
120,14,22,21,3
117,10,344,344,1
368,16,375,379,1
2089,42,18,18,1
446,10,41,39,1
970,6,81,99,8
380,10,496,548,7
924,23,14,27,1
1270,1,5391,6432,1681
455,3,9839,7357,2179
733,12,88,83,16
1730,6,663,780,2
9,11,320,307,18
438,4,1026,1312,575
147,0,3459,2835,5482
1224,16,207,263,1
192,1,1407,2222,1351
216,6,7017,7157,2
289,4,660,699,1
221,52,26,21,1
798,28,1,5,1
1231,4,462,559,2
404,4,195,207,13
724,22,43,52,2
1177,27,20,20,1
540,6,113,143,1
643,17,7,12,1
911,16,118,122,6
146,18,16,11,1
768,8,401,483,16
610,3,279,586,97
449,2,5169,6033,883
933,45,3,6,1
1034,-1,1842,2,2029
1207,16,11,9,3
1184,6,328,378,12
415,3,4029,4541,136
335,5,1346,1450,6
997,33,9,10,1
185,21,9,12,1
1058,7,681,691,7
933,8,410,417,4
621,1,7841,8300,2767
877,7,245,282,4
936,14,160,178,22
184,9,142,167,1
78,3,786,553,113
789,16,76,82,1
826,11,70,45,2
1061,2,3037,2987,85
139,28,143,126,2
215,6,7377,9049,86
352,3,305,407,40
961,0,4383,5620,4248
269,0,14054,14054,29966
523,16,169,113,9
127,15,176,173,1
261,4,1154,1287,3
427,6,254,312,1
219,5,1809,1049,36
814,6,494,603,2
870,6,585,667,2
644,17,213,217,1
1176,6,1167,1230,9
438,1,4139,4311,5698
654,5,1282,1390,4
819,8,523,550,4
210,7,869,886,124
788,8,151,186,2
317,33,26,28,1
35,2,1163,1287,176
1125,2,2656,3010,2463
810,28,81,74,2
352,7,101,123,2
423,2,32,92,37
139,32,68,74,2
866,16,143,146,1
1144,15,83,84,2
177,11,305,327,3
931,0,24064,22856,55712
615,22,44,48,1
685,1,3103,3918,4146
488,11,120,143,1
229,0,36008,35318,61045
977,10,96,84,7
788,0,5160,4065,7499
380,14,309,280,4
