avg_departure_delay_s,sum_departure_delay_s,avg_arrival_delay_s,sum_arrival_delay_s,arrival_count,departure_count,avg_time_saving_s,sum_time_saving_s,station
150.7289710910786447,4848951,179.9668222998670418,5820307,32341,32170,11.4099806409980641,265225,6
814,814,814,814,1,1,0,0,7
150.3765562642835215,8817179,124.5145385587863464,7288334,58534,58634,-26.4388252811007855,-1544847,8
151.3950549651217998,8290696,140.1184026198489948,7701608,54965,54762,-15.7956320292941748,-845477,9
205.6258936897730805,2645994,205.3073515697855145,2641895,12868,12868,-0.31854211998756605533,-4099,10
207.1223417775141913,2444665,146.5819170632222978,1724976,11768,11803,-60.8851593116374169,-714670,12
47.5945278022947926,269623,216.9700854700854701,1218504,5616,5665,,,13
124.2962813148882237,4609279,100.4096811641154396,3719275,37041,37083,-23.9625968835237246,-887311,16
274.5650252525252525,3044377,242.8329567025219199,2686461,11063,11088,-31.8998913830557567,-352430,19
174.6666993432016469,5345325,156.4506286013619696,4778628,30544,30603,-18.4693128970983166,-563942,22
179.84607051408312,5478471,163.2435248488035761,4966521,30424,30462,-16.7446220643378725,-509070,24
174.8701633418128263,5224421,156.9496897311002869,4704410,29974,29876,-17.3650052095587,-516661,25
181.1655917130851168,7415470,164.2400019591996669,6706412,40833,40932,-17.2689753204421244,-704626,27
174.8722502414422148,6518538,148.0788297986866186,5502017,37156,37276,-28.7662885279795424,-1057420,31
121.3361793940288048,6579697,121.3565316810503799,6580922,54228,54227,0,0,33
172.2541171088746569,1506190,183.019634703196347,1603252,8760,8744,11.1103345554537122,96971,34
142.1123414431274693,2733673,118.4309260125825404,2277782,19233,19236,-23.4002192410085086,-448278,35
124.1614810205351587,12769760,178.0228097049957998,18013238,101185,102848,-61.7586374992383158,-1013521,37
649.7164179104477612,87062,649.126865671641791,86983,134,134,-0.58955223880597014925,-79,38
-151.8,-759,1563,6252,4,5,0,0,42
2457.5,4915,2103,4206,2,2,-354.5,-709,55
162.3378442828186479,2723055,159.6640829954686382,2677886,16772,16774,-2.5934052829288653,-43494,58
670.1555555555555556,90471,672.4074074074074074,90775,135,135,2.2518518518518519,304,61
145.7846504667569301,8183184,127.6438196609683547,7123291,55806,56132,-18.9225350847244434,-1053058,64
136.4313779745434422,3451441,117.6572740224790249,2972964,25268,25298,-18.8490887480190174,-475751,66
245.0413895694784739,2800333,168.0463953692334678,1916065,11402,11428,-77.2350464830731451,-880634,67
100.1777184319258289,1988127,56.0378257783186289,1105178,19722,19846,-44.5127827939535356,-877525,68
73.699581410325212,686659,97.6514996008666895,856306,8769,9317,,,70
173.8634756332776135,5408545,173.6273148148148148,5400504,31104,31108,-0.61838071573784246023,-19163,74
111.3666329625884732,1101416,59.6769028073375899,588832,9867,9890,-51.6266924564796905,-507129,75
-77,-154,-72.5,-145,2,2,4.5,9,76
183.1072152473150809,6052609,171.6780848814378493,5683403,33105,33055,-19.4122105930859499,-612067,77
117.4160137383277879,1093965,144.6819349315068493,1351908,9344,9317,23.2604040181035434,210716,78
110.0405708963401271,4016921,68.5567256273138626,2499921,36465,36504,-41.4674112901012651,-1511031,82
