count,delay
40,-4
198,-3
2457,-2
9616,-1
44082,0
20022,1
14218,2
9839,3
7109,4
4812,5
3500,6
2587,7
2012,8
1538,9
1180,10
964,11
799,12
748,13
606,14
495,15
445,16
418,17
342,18
285,19
262,20
204,21
210,22
220,23
189,24
179,25
150,26
132,27
122,28
128,29
100,30
81,31
74,32
74,33
79,34
50,35
58,36
55,37
42,38
48,39
41,40
27,41
32,42
25,43
20,44
35,45
23,46
16,47
20,48
14,49
21,50
15,51
15,52
1,53
12,54
12,55
6,56
13,57
5,58
11,59
